"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_name","Gene_type"
"ENSG00000174944.9",66425,2,5," P2RY14"," protein_coding"
"ENSG00000239570.1",689,1,1," SETP11"," processed_pseudogene"
"ENSG00000286273.1",2177,1,2," ENSG00000286273"," lncRNA"
"ENSG00000138271.6",22734,1,3," GPR87"," protein_coding"
"ENSG00000181631.7",3237,1,2," P2RY13"," protein_coding"
"ENSG00000169313.10",47910,1,3," P2RY12"," protein_coding"
"ENSG00000152580.9",35677,1,8," IGSF10"," protein_coding"
"ENSG00000242810.1",370,1,1," MRPL42P6"," processed_pseudogene"
"ENSG00000242119.1",167,1,1," ENSG00000242119"," processed_pseudogene"
"ENSG00000264330.1",119,1,1," MIR5186"," miRNA"
"ENSG00000241151.1",20792,1,3," LINC02066"," lncRNA"
"ENSG00000197953.6",27423,1,5," AADACL2"," protein_coding"
"ENSG00000242908.6",176732,1,5," AADACL2-AS1"," lncRNA"
"ENSG00000242097.1",2264,1,1," ENSG00000242097"," processed_pseudogene"
"ENSG00000240602.9",14549,2,7," AADACP1"," transcribed_unprocessed_pseudogene"
"ENSG00000250271.2",11202,2,4," ENSG00000250271"," transcribed_unprocessed_pseudogene"
"ENSG00000114771.14",14415,2,7," AADAC"," protein_coding"
"ENSG00000198829.6",10976,1,3," SUCNR1"," protein_coding"
"ENSG00000239941.1",33551,1,2," LINC02917"," lncRNA"
"ENSG00000289315.2",45933,2,4," ENSG00000289315"," lncRNA"
"ENSG00000152601.18",221952,9,24," MBNL1"," protein_coding"
"ENSG00000229619.6",24328,1,2," MBNL1-AS1"," lncRNA"
"ENSG00000221962.5",1295,2,2," TMEM14EP"," transcribed_processed_pseudogene"
"ENSG00000201217.1",112,1,1," Y_RNA"," misc_RNA"
"ENSG00000243305.1",39054,1,2," ENSG00000243305"," lncRNA"
"ENSG00000244545.1",2301,1,2," ENSG00000244545"," lncRNA"
"ENSG00000287706.3",28972,1,4," ENSG00000287706"," lncRNA"
"ENSG00000242561.1",298,1,1," ATP5MGP5"," processed_pseudogene"
"ENSG00000169860.7",6308,1,1," P2RY1"," protein_coding"
"ENSG00000241810.1",273,1,1," HMGN2P13"," processed_pseudogene"
"ENSG00000241671.1",566,1,1," ENSG00000241671"," processed_pseudogene"
"ENSG00000288787.1",3065,1,2," ENSG00000288787"," lncRNA"
"ENSG00000244268.1",5264,1,2," ENSG00000244268"," lncRNA"
"ENSG00000289885.1",617,1,1," ENSG00000289885"," lncRNA"
"ENSG00000181467.5",8401,1,1," RAP2B"," protein_coding"
"ENSG00000265813.2",317,1,1," RN7SL300P"," misc_RNA"
"ENSG00000290079.1",793,1,1," ENSG00000290079"," lncRNA"
"ENSG00000241220.1",17079,1,2," ENSG00000241220"," lncRNA"
"ENSG00000241912.1",731,1,2," ENSG00000241912"," lncRNA"
"ENSG00000238755.3",595252,3,13," LINC02006"," lncRNA"
"ENSG00000237787.5",70841,3,11," LINC02877"," lncRNA"
"ENSG00000207323.1",105,1,1," RNU6-901P"," snRNA"
"ENSG00000200162.1",102,1,1," Y_RNA"," misc_RNA"
"ENSG00000243486.1",59310,1,6," ENSG00000243486"," lncRNA"
"ENSG00000201398.1",135,1,1," U8"," snoRNA"
"ENSG00000240068.1",463,1,1," RPL21P42"," processed_pseudogene"
"ENSG00000243069.9",96946,9,22," ARHGEF26-AS1"," lncRNA"
"ENSG00000114790.13",136824,4,23," ARHGEF26"," protein_coding"
"ENSG00000174953.14",51941,3,30," DHX36"," protein_coding"
"ENSG00000271922.1",103,1,1," ENSG00000271922"," snoRNA"
"ENSG00000279305.1",2238,1,1," ENSG00000279305"," TEC"
"ENSG00000174948.6",95247,1,4," GPR149"," protein_coding"
"ENSG00000240048.1",2663,1,2," DDX50P2"," processed_pseudogene"
"ENSG00000243861.1",27774,1,2," ENSG00000243861"," lncRNA"
"ENSG00000243154.1",767,1,1," SYPL1P1"," processed_pseudogene"
"ENSG00000242151.1",269,1,1," DYNLL1P5"," processed_pseudogene"
"ENSG00000240601.1",531,1,1," RPL9P15"," processed_pseudogene"
"ENSG00000243969.1",34001,1,2," ENSG00000243969"," lncRNA"
"ENSG00000243953.1",940,1,2," ENSG00000243953"," lncRNA"
"ENSG00000196549.13",159580,12,41," MME"," protein_coding"
"ENSG00000240666.2",24915,1,2," MME-AS1"," lncRNA"
"ENSG00000241336.2",17847,2,8," LINC01487"," lncRNA"
"ENSG00000240045.2",3456,1,3," STRIT1"," protein_coding"
"ENSG00000242790.1",2988,1,3," ENSG00000242790"," lncRNA"
"ENSG00000239443.1",380,1,1," PABPC1P10"," processed_pseudogene"
"ENSG00000114805.18",369491,4,30," PLCH1"," protein_coding"
"ENSG00000248772.1",107,1,1," ENSG00000248772"," unprocessed_pseudogene"
"ENSG00000243518.1",2070,1,3," ENSG00000243518"," processed_pseudogene"
"ENSG00000242152.1",2169,1,2," ENSG00000242152"," processed_pseudogene"
"ENSG00000272096.2",285,1,1," RN7SL715P"," misc_RNA"
"ENSG00000239508.1",8569,1,2," PLCH1-AS1"," lncRNA"
"ENSG00000242925.1",1318,1,2," PLCH1-AS2"," lncRNA"
"ENSG00000239212.2",852,1,1," RPL6P7"," processed_pseudogene"
"ENSG00000214919.3",1584,1,1," ENSG00000214919"," lncRNA"
"ENSG00000241307.1",600,1,1," RPL7AP24"," processed_pseudogene"
"ENSG00000174928.16",43661,2,7," C3orf33"," protein_coding"
"ENSG00000284952.1",91399,1,7," ENSG00000284952"," protein_coding"
"ENSG00000169359.16",33432,3,7," SLC33A1"," protein_coding"
"ENSG00000286585.3",8987,1,3," ENSG00000286585"," lncRNA"
"ENSG00000163655.16",73370,2,17," GMPS"," protein_coding"
"ENSG00000288032.1",4114,1,2," ENSG00000288032"," lncRNA"
"ENSG00000240489.1",872,1,1," SETP14"," processed_pseudogene"
"ENSG00000174930.4",18001,1,5," VN2R1P"," unitary_pseudogene"
"ENSG00000169282.18",501437,6,25," KCNAB1"," protein_coding"
"ENSG00000242017.1",793,1,1," ALG1L15P"," processed_pseudogene"
"ENSG00000242537.1",2766,1,3," MRE11P1"," processed_pseudogene"
"ENSG00000287916.1",397057,1,2," ENSG00000287916"," lncRNA"
"ENSG00000227709.4",1059,1,1," ENSG00000227709"," processed_pseudogene"
"ENSG00000240596.1",12323,1,4," KCNAB1-AS2"," lncRNA"
"ENSG00000242370.1",5748,1,3," KCNAB1-AS1"," lncRNA"
"ENSG00000272990.1",507,1,1," ENSG00000272990"," lncRNA"
"ENSG00000114850.7",15596,5,15," SSR3"," protein_coding"
"ENSG00000243926.3",2587,2,4," TIPARP-AS1"," lncRNA"
"ENSG00000163659.13",33535,4,12," TIPARP"," protein_coding"
"ENSG00000174912.7",1044,1,1," METTL15P1"," processed_pseudogene"
"ENSG00000240875.6",69719,1,3," LINC00886"," lncRNA"
"ENSG00000230457.3",1181,1,1," PA2G4P4"," processed_pseudogene"
"ENSG00000197980.14",220648,5,21," LEKR1"," protein_coding"
"ENSG00000241879.1",267,1,1," KLF3P2"," processed_pseudogene"
"ENSG00000239706.1",595,1,1," ENSG00000239706"," processed_pseudogene"
"ENSG00000222499.1",354,1,1," RN7SKP177"," misc_RNA"
"ENSG00000243629.2",46928,1,4," LINC00880"," lncRNA"
"ENSG00000241544.2",6809,2,8," LINC02029"," lncRNA"
"ENSG00000289409.2",678,1,1," ENSG00000289409"," lncRNA"
"ENSG00000241135.8",45923,8,20," LINC00881"," lncRNA"
"ENSG00000163660.12",14252,3,15," CCNL1"," protein_coding"
"ENSG00000201778.1",92,1,1," Y_RNA"," misc_RNA"
"ENSG00000244515.1",1269,1,1," KRT18P34"," processed_pseudogene"
"ENSG00000241770.1",5681,1,2," ENSG00000241770"," lncRNA"
"ENSG00000222675.1",122,1,1," RNA5SP146"," rRNA_pseudogene"
"ENSG00000243176.8",207064,5,15," ENSG00000243176"," lncRNA"
"ENSG00000270981.1",888,1,1," ENSG00000270981"," processed_pseudogene"
"ENSG00000286361.1",569,1,2," ENSG00000286361"," lncRNA"
"ENSG00000197415.12",273877,6,23," VEPH1"," protein_coding"
"ENSG00000163661.4",6783,1,3," PTX3"," protein_coding"
"ENSG00000174899.13",134503,3,12," SLC66A1L"," transcribed_unitary_pseudogene"
"ENSG00000286892.1",7801,1,2," ENSG00000286892"," lncRNA"
"ENSG00000242536.2",274175,3,18," ENSG00000242536"," lncRNA"
"ENSG00000251751.1",233,1,1," RN7SKP46"," misc_RNA"
"ENSG00000239716.1",1575,1,2," ENSG00000239716"," lncRNA"
"ENSG00000168779.21",10515,3,10," SHOX2"," protein_coding"
"ENSG00000174891.14",439875,11,29," RSRC1"," protein_coding"
"ENSG00000241723.1",612,1,1," ENSG00000241723"," processed_pseudogene"
"ENSG00000277143.1",347,1,1," ENSG00000277143"," processed_pseudogene"
"ENSG00000243314.1",373,1,1," ENSG00000243314"," processed_pseudogene"
"ENSG00000243150.6",25877,1,5," MLF1-DT"," lncRNA"
"ENSG00000178053.21",36089,15,35," MLF1"," protein_coding"
"ENSG00000243025.1",1247,1,2," MTAPP1"," processed_pseudogene"
"ENSG00000243165.1",193,1,1," ENSG00000243165"," processed_pseudogene"
"ENSG00000168827.15",51054,3,23," GFM1"," protein_coding"
"ENSG00000079257.8",26826,1,6," LXN"," protein_coding"
"ENSG00000272087.1",648,1,1," ENSG00000272087"," lncRNA"
"ENSG00000118849.10",35597,2,8," RARRES1"," protein_coding"
"ENSG00000118855.21",97521,4,22," MFSD1"," protein_coding"
"ENSG00000240207.7",51807,4,14," ENSG00000240207"," lncRNA"
"ENSG00000243675.1",322,1,1," RPL35AP9"," processed_pseudogene"
"ENSG00000271778.1",577,1,1," ENSG00000271778"," lncRNA"
"ENSG00000272247.1",678,1,1," ENSG00000272247"," lncRNA"
"ENSG00000232374.5",867,1,1," GPR79"," processed_pseudogene"
"ENSG00000279311.1",1923,1,1," ENSG00000279311"," TEC"
"ENSG00000283154.3",935394,6,21," IQCJ-SCHIP1"," protein_coding"
"ENSG00000214216.11",303379,3,5," IQCJ"," protein_coding"
"ENSG00000263634.1",88,1,1," MIR3919"," miRNA"
"ENSG00000244249.1",684,1,1," ENSG00000244249"," processed_pseudogene"
"ENSG00000286913.1",19794,1,4," ENSG00000286913"," lncRNA"
"ENSG00000243116.1",877,1,1," ENSG00000243116"," processed_pseudogene"
"ENSG00000241211.1",3225,1,2," IQCJ-SCHIP1-AS1"," lncRNA"
"ENSG00000252763.1",154,1,1," RNU2-31P"," snRNA"
"ENSG00000151967.18",57499,2,4," SCHIP1"," protein_coding"
"ENSG00000244040.7",323254,6,26," IL12A-AS1"," lncRNA"
"ENSG00000168811.8",7184,3,9," IL12A"," protein_coding"
"ENSG00000242107.2",15399,1,5," LINC01100"," lncRNA"
"ENSG00000184100.6",1943,1,1," BRD7P2"," processed_pseudogene"
"ENSG00000180044.6",2791,1,1," C3orf80"," protein_coding"
"ENSG00000248710.1",222375,1,19," ENSG00000248710"," protein_coding"
"ENSG00000068885.15",142894,3,13," IFT80"," protein_coding"
"ENSG00000243687.1",330,1,1," RPL35AP10"," processed_pseudogene"
"ENSG00000113810.16",35680,4,29," SMC4"," protein_coding"
"ENSG00000207779.1",97,1,1," MIR15B"," miRNA"
"ENSG00000198987.1",80,1,1," MIR16-2"," miRNA"
"ENSG00000213186.8",53328,2,4," TRIM59"," protein_coding"
"ENSG00000244009.1",805,1,1," B3GAT3P1"," processed_pseudogene"
"ENSG00000238427.1",68,1,1," RNU7-136P"," snRNA"
"ENSG00000186432.10",70564,4,23," KPNA4"," protein_coding"
"ENSG00000238741.1",329,1,1," SCARNA7"," scaRNA"
"ENSG00000229320.3",3801,2,4," KRT8P12"," transcribed_processed_pseudogene"
"ENSG00000242285.1",842,1,1," RPL6P8"," processed_pseudogene"
"ENSG00000179674.4",1288,1,1," ARL14"," protein_coding"
"ENSG00000207084.1",131,1,1," SNORA72"," snoRNA"
"ENSG00000260572.1",1714,1,1," PPM1L-DT"," lncRNA"
"ENSG00000163590.14",323300,4,11," PPM1L"," protein_coding"
"ENSG00000169255.15",21528,37,76," B3GALNT1"," protein_coding"
"ENSG00000169251.13",148836,3,21," NMD3"," protein_coding"
"ENSG00000271052.1",236,1,1," ENSG00000271052"," processed_pseudogene"
"ENSG00000240138.1",1306,1,1," EEF1GP4"," processed_pseudogene"
"ENSG00000243838.1",1314,1,1," PSMC1P7"," processed_pseudogene"
"ENSG00000196542.9",28082,3,8," SPTSSB"," protein_coding"
"ENSG00000240567.1",21815,1,4," LINC02067"," lncRNA"
"ENSG00000269888.1",501,1,2," ENSG00000269888"," lncRNA"
"ENSG00000234851.4",470,1,1," RPL23AP42"," processed_pseudogene"
"ENSG00000182447.4",7134,1,4," OTOL1"," protein_coding"
"ENSG00000288087.1",134961,1,2," ENSG00000288087"," lncRNA"
"ENSG00000240354.1",4999,1,2," ENSG00000240354"," lncRNA"
"ENSG00000241874.1",408,1,1," TOMM22P6"," processed_pseudogene"
"ENSG00000243044.1",165,1,1," ENSG00000243044"," processed_pseudogene"
"ENSG00000241168.1",205753,1,5," ENSG00000241168"," lncRNA"
"ENSG00000241369.6",252411,10,40," LINC01192"," lncRNA"
"ENSG00000244571.1",757,1,1," RPS6P4"," processed_pseudogene"
"ENSG00000240792.2",23932,1,3," ENSG00000240792"," lncRNA"
"ENSG00000238924.2",61,1,1," RNU7-82P"," snRNA"
"ENSG00000214210.4",859,1,1," ENSG00000214210"," processed_pseudogene"
"ENSG00000221251.1",85,1,1," MIR1263"," miRNA"
"ENSG00000289884.1",236628,1,6," ENSG00000289884"," lncRNA"
"ENSG00000241636.1",15198,1,4," LINC01323"," lncRNA"
"ENSG00000241767.2",117385,1,4," LINC01324"," lncRNA"
"ENSG00000090402.8",99598,1,48," SI"," protein_coding"
"ENSG00000200052.1",110,1,1," Y_RNA"," misc_RNA"
"ENSG00000239205.1",8056,1,2," LINC02023"," lncRNA"
"ENSG00000121871.4",10389,2,4," SLITRK3"," protein_coding"
"ENSG00000244128.9",639590,9,40," LINC01322"," lncRNA"
"ENSG00000114200.10",64558,1,4," BCHE"," protein_coding"
"ENSG00000242178.1",349,1,1," MTND4P17"," processed_pseudogene"
"ENSG00000240084.1",290,1,1," MTND4LP10"," processed_pseudogene"
"ENSG00000240824.1",342,1,1," MTND3P7"," processed_pseudogene"
"ENSG00000242456.1",765,1,1," MTCO3P38"," processed_pseudogene"
"ENSG00000242326.1",507,1,1," MCUR1P2"," processed_pseudogene"
"ENSG00000244429.1",597,1,1," ENSG00000244429"," processed_pseudogene"
"ENSG00000244321.1",1070,1,2," LINC01326"," lncRNA"
"ENSG00000274149.1",267,1,1," ENSG00000274149"," processed_pseudogene"
"ENSG00000251759.1",93,1,1," RN7SKP298"," misc_RNA"
"ENSG00000224962.4",525,1,1," PSAT1P4"," processed_pseudogene"
"ENSG00000240458.1",152,1,1," ENSG00000240458"," processed_pseudogene"
"ENSG00000231516.3",558,1,1," CBX1P5"," processed_pseudogene"
"ENSG00000240033.1",9935,1,2," ENSG00000240033"," lncRNA"
"ENSG00000239227.1",166,1,1," ENSG00000239227"," processed_pseudogene"
"ENSG00000220343.5",489,1,1," PPIAP74"," processed_pseudogene"
"ENSG00000169064.13",168031,5,32," ZBBX"," protein_coding"
"ENSG00000241669.1",15723,1,4," LINC01327"," lncRNA"
"ENSG00000114204.16",37058,3,13," SERPINI2"," protein_coding"
"ENSG00000174776.12",175299,4,26," WDR49"," protein_coding"
"ENSG00000114209.15",51641,8,26," PDCD10"," protein_coding"
"ENSG00000241120.1",287,1,1," HMGN1P8"," processed_pseudogene"
"ENSG00000163536.13",90326,2,11," SERPINI1"," protein_coding"
"ENSG00000287319.1",16134,1,2," ENSG00000287319"," lncRNA"
"ENSG00000244227.9",59238,3,12," LRRC77P"," transcribed_unitary_pseudogene"
"ENSG00000244706.4",83792,2,13," ENSG00000244706"," lncRNA"
"ENSG00000239238.1",301,1,1," MEMO1P3"," processed_pseudogene"
"ENSG00000242036.1",305,1,1," ENSG00000242036"," processed_pseudogene"
"ENSG00000241203.1",338,1,1," HMGN2P26"," processed_pseudogene"
"ENSG00000173905.9",87235,2,18," GOLIM4"," protein_coding"
"ENSG00000286994.1",1038,1,1," ENSG00000286994"," lncRNA"
"ENSG00000206120.11",581077,3,22," EGFEM1P"," transcribed_unitary_pseudogene"
"ENSG00000241882.1",2675,1,2," ENSG00000241882"," lncRNA"
"ENSG00000222357.1",190,1,1," RNU2-20P"," snRNA"
"ENSG00000207717.1",95,1,1," MIR551B"," miRNA"
"ENSG00000226765.1",864,1,1," RPSAP33"," processed_pseudogene"
"ENSG00000231688.1",471,1,1," RPL21P43"," processed_pseudogene"
"ENSG00000242268.3",22396,1,5," LINC02082"," lncRNA"
"ENSG00000272797.1",444,1,1," ENSG00000272797"," lncRNA"
"ENSG00000273177.1",429,1,1," ENSG00000273177"," lncRNA"
"ENSG00000241383.2",35394,1,5," LINC01997"," lncRNA"
"ENSG00000085276.19",580276,8,32," MECOM"," protein_coding"
"ENSG00000241479.1",29185,1,5," MECOM-AS1"," lncRNA"
"ENSG00000213178.3",409,1,1," RPL22P1"," processed_pseudogene"
"ENSG00000242795.2",10441,1,3," ENSG00000242795"," lncRNA"
"ENSG00000244381.1",470,1,1," SDHDP3"," processed_pseudogene"
"ENSG00000206777.1",106,1,1," RNU6-637P"," snRNA"
"ENSG00000270141.3",540,1,1," TERC"," lncRNA"
"ENSG00000277925.1",437,1,1," Telomerase-vert"," misc_RNA"
"ENSG00000184378.3",2640,1,2," ACTRT3"," protein_coding"
"ENSG00000269889.1",2394,1,2," ENSG00000269889"," lncRNA"
"ENSG00000085274.16",16320,3,11," MYNN"," protein_coding"
"ENSG00000269984.1",3142,1,1," ENSG00000269984"," lncRNA"
"ENSG00000171757.17",19983,3,14," LRRC34"," protein_coding"
"ENSG00000270135.1",471,1,1," ENSG00000270135"," lncRNA"
"ENSG00000270096.1",1251,1,1," ENSG00000270096"," lncRNA"
"ENSG00000188306.7",24903,2,8," LRRIQ4"," protein_coding"
"ENSG00000114248.10",30763,3,13," LRRC31"," protein_coding"
"ENSG00000240128.1",1280,1,1," KRT18P43"," processed_pseudogene"
"ENSG00000187033.9",27603,1,10," SAMD7"," protein_coding"
"ENSG00000244039.1",1231,1,1," ENSG00000244039"," processed_pseudogene"
"ENSG00000239219.2",27381,2,4," ENSG00000239219"," lncRNA"
"ENSG00000244193.1",767,1,1," ENSG00000244193"," transcribed_processed_pseudogene"
"ENSG00000008952.17",31738,2,11," SEC62"," protein_coding"
"ENSG00000240373.1",7179,1,2," SEC62-AS1"," lncRNA"
"ENSG00000173890.17",47397,1,4," GPR160"," protein_coding"
"ENSG00000201342.1",128,1,1," RNU4-38P"," snRNA"
"ENSG00000242583.1",707,1,1," KMT5AP3"," processed_pseudogene"
"ENSG00000173889.16",95017,5,23," PHC3"," protein_coding"
"ENSG00000199536.1",106,1,1," RNU6-315P"," snRNA"
"ENSG00000163558.13",83553,1,18," PRKCI"," protein_coding"
"ENSG00000200118.1",99,1,1," Y_RNA"," misc_RNA"
"ENSG00000239628.1",8283,1,2," ENSG00000239628"," lncRNA"
"ENSG00000136603.14",39157,4,14," SKIL"," protein_coding"
"ENSG00000242578.1",8103,1,4," ENSG00000242578"," lncRNA"
"ENSG00000013297.12",35865,1,3," CLDN11"," protein_coding"
"ENSG00000285218.1",441512,1,2," ENSG00000285218"," protein_coding"
"ENSG00000283474.1",59,1,1," MIR6828"," miRNA"
"ENSG00000285051.2",412354,4,13," SLC7A14-AS1"," lncRNA"
"ENSG00000013293.6",126527,1,8," SLC7A14"," protein_coding"
"ENSG00000241416.1",1009,1,1," KRT8P13"," processed_pseudogene"
"ENSG00000213174.3",413,1,1," ENSG00000213174"," processed_pseudogene"
"ENSG00000244738.1",5561,1,2," ENSG00000244738"," lncRNA"
"ENSG00000286695.1",44064,1,3," ENSG00000286695"," lncRNA"
"ENSG00000289233.1",1124,1,1," ENSG00000289233"," lncRNA"
"ENSG00000239739.1",1014,1,2," ENSG00000239739"," lncRNA"
"ENSG00000163584.18",5333,2,6," RPL22L1"," protein_coding"
"ENSG00000163577.8",20226,3,10," EIF5A2"," protein_coding"
"ENSG00000286856.1",146116,1,3," ENSG00000286856"," lncRNA"
"ENSG00000240704.1",1047,1,1," KLF7P1"," processed_pseudogene"
"ENSG00000199488.1",163,1,1," RNU1-70P"," snRNA"
"ENSG00000163581.14",30396,1,11," SLC2A2"," protein_coding"
"ENSG00000154310.17",401994,4,38," TNIK"," protein_coding"
"ENSG00000207963.1",95,1,1," MIR569"," miRNA"
"ENSG00000222506.1",101,1,1," Y_RNA"," misc_RNA"
"ENSG00000240497.3",10454,1,3," ENSG00000240497"," lncRNA"
"ENSG00000279673.2",1740,1,1," ENSG00000279673"," TEC"
"ENSG00000207114.1",106,1,1," RNU6-348P"," snRNA"
"ENSG00000234594.1",192,1,1," ENSG00000234594"," processed_pseudogene"
"ENSG00000075651.17",210546,3,31," PLD1"," protein_coding"
"ENSG00000234717.2",85163,1,4," TMEM212-AS1"," lncRNA"
"ENSG00000186329.9",95366,2,7," TMEM212"," protein_coding"
"ENSG00000235943.1",804,1,2," TMEM212-IT1"," lncRNA"
"ENSG00000287899.1",55264,2,7," ENSG00000287899"," lncRNA"
"ENSG00000075420.13",362091,5,34," FNDC3B"," protein_coding"
"ENSG00000237483.1",444,1,1," RPS27AP8"," processed_pseudogene"
"ENSG00000243398.3",265,1,1," RN7SL141P"," misc_RNA"
"ENSG00000279862.1",1398,1,1," ENSG00000279862"," TEC"
"ENSG00000236686.1",1239,1,1," BZW1P1"," processed_pseudogene"
"ENSG00000121853.4",5165,2,3," GHSR"," protein_coding"
"ENSG00000121858.11",17967,2,7," TNFSF10"," protein_coding"
"ENSG00000224611.1",216,1,1," ENSG00000224611"," processed_pseudogene"
"ENSG00000223387.6",34719,2,6," LINC02068"," lncRNA"
"ENSG00000224426.1",566,1,1," SLC31A1P1"," processed_pseudogene"
"ENSG00000144959.11",80969,2,8," NCEH1"," protein_coding"
"ENSG00000231384.1",510,1,1," ENSG00000231384"," processed_pseudogene"
"ENSG00000252082.1",101,1,1," RNU6-547P"," snRNA"
"ENSG00000287012.1",13887,1,2," ENSG00000287012"," lncRNA"
"ENSG00000114346.14",70792,4,32," ECT2"," protein_coding"
"ENSG00000200355.1",128,1,1," SNORA72"," snoRNA"
"ENSG00000201458.1",129,1,1," RNU4-4P"," snRNA"
"ENSG00000227440.1",440,1,1," ATP5MC1P4"," processed_pseudogene"
"ENSG00000237501.1",248,1,1," ENSG00000237501"," processed_pseudogene"
"ENSG00000144962.7",251878,1,11," SPATA16"," protein_coding"
"ENSG00000237473.2",183228,2,8," ENSG00000237473"," lncRNA"
"ENSG00000169760.18",898088,3,12," NLGN1"," protein_coding"
"ENSG00000237645.1",480,1,1," ENSG00000237645"," processed_pseudogene"
"ENSG00000289417.1",1307,1,1," ENSG00000289417"," lncRNA"
"ENSG00000228213.5",10298,1,4," NLGN1-AS1"," lncRNA"
"ENSG00000252982.1",223,1,1," RN7SKP234"," misc_RNA"
"ENSG00000232601.1",343,1,1," ANAPC15P2"," processed_pseudogene"
"ENSG00000213169.3",761,1,1," ENSG00000213169"," processed_pseudogene"
"ENSG00000177694.16",1371975,1,14," NAALADL2"," protein_coding"
"ENSG00000253020.2",241,1,1," RN7SKP40"," misc_RNA"
"ENSG00000230497.2",670,1,1," EEF1B2P8"," processed_pseudogene"
"ENSG00000230292.5",35935,1,4," NAALADL2-AS3"," lncRNA"
"ENSG00000226779.1",36235,1,3," NAALADL2-AS2"," lncRNA"
"ENSG00000264974.1",81,1,1," MIR4789"," miRNA"
"ENSG00000199792.1",101,1,1," RNU6-1233P"," snRNA"
"ENSG00000288104.1",3683,1,2," ENSG00000288104"," lncRNA"
"ENSG00000201648.1",134,1,1," RNU4-91P"," snRNA"
"ENSG00000236241.1",1714,1,1," ENSG00000236241"," processed_pseudogene"
"ENSG00000214192.3",439,1,1," UBE2V1P2"," processed_pseudogene"
"ENSG00000201452.1",103,1,1," RNU6-1317P"," snRNA"
"ENSG00000225552.1",3188,1,3," NAALADL2-AS1"," lncRNA"
"ENSG00000260217.1",2108,1,1," ENSG00000260217"," lncRNA"
"ENSG00000230362.1",1073,1,1," ACTG1P23"," processed_pseudogene"
"ENSG00000236357.1",866,1,1," EI24P1"," processed_pseudogene"
"ENSG00000271413.1",145,1,1," ENSG00000271413"," processed_pseudogene"
"ENSG00000238026.1",835,1,1," ENSG00000238026"," processed_pseudogene"
"ENSG00000288895.2",39956,2,7," ENSG00000288895"," lncRNA"
"ENSG00000223715.3",452399,2,13," LINC01208"," lncRNA"
"ENSG00000283333.1",48,1,1," MIR7977"," miRNA"
"ENSG00000252302.1",108,1,1," RNA5SP147"," rRNA_pseudogene"
"ENSG00000228308.2",2846,1,2," LINC01209"," lncRNA"
"ENSG00000231888.1",348,1,1," MTND5P15"," processed_pseudogene"
"ENSG00000177565.18",208660,2,18," TBL1XR1"," protein_coding"
"ENSG00000231310.3",10518,1,2," TBL1XR1-AS1"," lncRNA"
"ENSG00000201343.1",109,1,1," Y_RNA"," misc_RNA"
"ENSG00000200882.1",103,1,1," RNU6-681P"," snRNA"
"ENSG00000203645.2",28976,1,2," LINC00501"," lncRNA"
"ENSG00000236893.1",1225,1,1," ASS1P7"," processed_pseudogene"
"ENSG00000226782.2",11538,1,3," ENSG00000226782"," lncRNA"
"ENSG00000228221.6",325469,3,14," LINC00578"," lncRNA"
"ENSG00000252028.1",249,1,1," RN7SKP52"," misc_RNA"
"ENSG00000236385.1",6905,1,3," ENSG00000236385"," lncRNA"
"ENSG00000200288.1",127,1,1," ENSG00000200288"," snoRNA"
"ENSG00000228561.2",7623,1,4," ENSG00000228561"," lncRNA"
"ENSG00000277241.1",726,1,1," ENSG00000277241"," processed_pseudogene"
"ENSG00000231574.7",82359,3,8," LINC02015"," lncRNA"
"ENSG00000225790.3",9541,3,8," ENSG00000225790"," lncRNA"
"ENSG00000270321.2",7490,1,3," ENSG00000270321"," lncRNA"
"ENSG00000199858.1",107,1,1," RNU6-1120P"," snRNA"
"ENSG00000286003.1",144319,1,4," ENSG00000286003"," lncRNA"
"ENSG00000223930.9",221471,8,31," ENSG00000223930"," lncRNA"
"ENSG00000197584.13",571497,4,11," KCNMB2"," protein_coding"
"ENSG00000275163.1",424177,1,2," ENSG00000275163"," protein_coding"
"ENSG00000223941.5",38108,1,3," LINC01014"," lncRNA"
"ENSG00000252336.1",93,1,1," RNA5SP148"," rRNA_pseudogene"
"ENSG00000271131.1",483,1,1," PPIAP75"," processed_pseudogene"
"ENSG00000237978.6",410847,3,18," KCNMB2-AS1"," lncRNA"
"ENSG00000172667.11",112094,3,15," ZMAT3"," protein_coding"
"ENSG00000200616.1",109,1,1," Y_RNA"," misc_RNA"
"ENSG00000229102.1",46607,1,3," PIK3CA-DT"," lncRNA"
"ENSG00000121879.6",91979,2,24," PIK3CA"," protein_coding"
"ENSG00000201957.1",127,1,1," ENSG00000201957"," snoRNA"
"ENSG00000171121.17",30311,5,10," KCNMB3"," protein_coding"
"ENSG00000240429.1",2245,1,1," LRRFIP1P1"," processed_pseudogene"
"ENSG00000121864.10",15552,4,11," ZNF639"," protein_coding"
"ENSG00000260743.1",1565,1,1," ENSG00000260743"," lncRNA"
"ENSG00000171109.19",47227,2,20," MFN1"," protein_coding"
"ENSG00000289574.1",1579,1,1," ENSG00000289574"," lncRNA"
"ENSG00000114450.11",55388,8,21," GNB4"," protein_coding"
"ENSG00000242539.2",2230,1,2," ENSG00000242539"," lncRNA"
"ENSG00000272699.1",496,1,1," ENSG00000272699"," lncRNA"
