"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length"
"LINC01358",67795,1,3,"lncRNA",148,"33662.5"
"HSD52",14869,1,3,"lncRNA",132,"6913.5"
"FGGY-DT",7328,5,10,"lncRNA",173.5,"441"
"FGGY",466426,29,51,"protein_coding",108,"18209"
"LOC124904192",9173,1,3,"lncRNA",106,"4425.5"
"MIR4711",69,3,3,"miRNA",70,NA
"LOC105378758",44040,1,5,"lncRNA",106,"11255.5"
"LOC101926944",16037,1,3,"lncRNA",214,"7753.5"
"HOOK1",61380,8,28,"protein_coding",91,"1807"
"CYP2J2",75902,3,14,"protein_coding",162,"3626"
"RN7SL475P",297,NA,NA,"pseudogene",NA,NA
"C1orf87",83489,3,14,"protein_coding",137.5,"6778"
"PGBD4P8",785,NA,NA,"pseudogene",NA,NA
"LINC02778",144048,1,5,"lncRNA",149,"7734.5"
"LOC107984963",10299,1,3,"lncRNA",130,"4785.5"
"LOC105378761",94342,1,3,"lncRNA",378,"46674"
"LOC107984962",11139,1,3,"lncRNA",946,"4029"
"LOC107985379",8772,1,4,"lncRNA",161,"1626"
"LINC01748",106977,1,8,"lncRNA",187,"10999"
"LOC101926964",165907,1,6,"lncRNA",77.5,"2779"
"LOC105378764",31162,2,4,"lncRNA",192,"9544"
"NFIA-AS2",30495,2,9,"lncRNA",174,"1637"
"NFIA",385582,3,14,"protein_coding",129,"19875"
"NFIA-AS1",4573,1,4,"lncRNA",96.5,"1303"
"LOC105378766",7641,3,7,"lncRNA",228,"1922"
"LOC107984964",11088,1,3,"lncRNA",68,"5420"
"MGC34796",1886,1,1,"transcribed_pseudogene",1887,NA
"TM2D1",44113,5,15,"protein_coding",119.5,"8300"
"PATJ",421219,8,56,"protein_coding",NA,NA
"RNU6-414P",103,NA,NA,"pseudogene",NA,NA
"MIR12132",101,2,2,"miRNA",102,NA
"RNU6-1177P",103,NA,NA,"pseudogene",NA,NA
"LOC107984965",45525,2,4,"lncRNA",83,"22616"
"LAMTOR5P1",575,NA,NA,"pseudogene",NA,NA
"RN7SL180P",293,NA,NA,"pseudogene",NA,NA
"MIR3116-1",73,2,2,"miRNA",74,NA
"MIR3116-2",67,2,2,"miRNA",68,NA
"RPS15AP7",479,NA,NA,"pseudogene",NA,NA
"L1TD1",17490,1,5,"protein_coding",111,"2569.5"
"LOC124905712",8702,1,3,"lncRNA",276,"2743"
"KANK4",83188,4,15,"protein_coding",201,"7237.5"
"RNU6-371P",107,NA,NA,"pseudogene",NA,NA
"LOC105378768",7770,3,6,"lncRNA",88,"3587.5"
"USP1",15409,2,11,"protein_coding",186.5,"1433.5"
"DOCK7",233278,4,55,"protein_coding",136.5,"2092"
"ANGPTL3",8793,1,7,"protein_coding",115,"603"
"RPL13AP9",823,NA,NA,"pseudogene",NA,NA
"ATG4C",81364,1,12,"protein_coding",137,"5718.5"
"LINC01739",11976,3,4,"lncRNA",245,"10284"
"LINC00466",155359,1,12,"lncRNA",137.5,"5797"
"LOC105378770",25510,1,3,"lncRNA",194,"12467"
"RNA5SP49",114,NA,NA,"pseudogene",NA,NA
"RPSAP65",700,NA,NA,"pseudogene",NA,NA
"FOXD3-AS1",3557,3,6,"lncRNA",143,"514"
"FOXD3",2561,1,1,"protein_coding",2562,NA
"MIR6068",59,2,2,"miRNA",60,NA
"LOC124904741",61,1,1,"snRNA",62,NA
"LOC441887",1670,NA,NA,"pseudogene",NA,NA
"ALG6",70932,1,15,"protein_coding",86,"2596.5"
"ITGB3BP",88533,9,22,"protein_coding",74.5,"6308"
"LOC102724319",29836,2,4,"lncRNA",306.5,"14592.5"
"EFCAB7",66207,6,23,"protein_coding",145.5,"2501"
"RN7SL488P",285,NA,NA,"pseudogene",NA,NA
"RNU7-123P",59,NA,NA,"pseudogene",NA,NA
"DLEU2L",1656,1,1,"ncRNA_pseudogene",1657,NA
"PGM1",66837,3,13,"protein_coding",155,"2747.5"
"RN7SL130P",304,NA,NA,"pseudogene",NA,NA
"LOC105378771",59669,2,4,"lncRNA",51,"11706.5"
"ROR1",407379,5,14,"protein_coding",267,"17277.5"
"RPL19P3",693,NA,NA,"pseudogene",NA,NA
"CFL1P3",1076,NA,NA,"pseudogene",NA,NA
"RNU6-809P",106,NA,NA,"pseudogene",NA,NA
"LOC105378772",1077,1,2,"lncRNA",142.5,"793"
"ROR1-AS1",19333,2,8,"lncRNA",153.5,"1417"
"LOC105378773",4093,1,4,"lncRNA",89.5,"550"
"UBE2U",64463,8,23,"protein_coding",93,"3975"
"LOC105378774",13920,1,3,"lncRNA",191,"6675"
"LOC124904732",61,1,1,"snRNA",62,NA
"LOC107984966",1758,1,2,"lncRNA",472,"815"
"CACHD1",223216,4,30,"protein_coding",143,"1935"
"MIR4794",76,2,2,"miRNA",77,NA
"RAVER2",88147,2,14,"protein_coding",132,"5272"
"JAK1",234527,5,31,"protein_coding",147.5,"1925.5"
"LOC100130270",472,NA,NA,"pseudogene",NA,NA
"LINC01359",22907,1,7,"lncRNA",144,"2673.5"
"SLC2A3P2",3326,NA,NA,"pseudogene",NA,NA
"RNU6-1176P",106,NA,NA,"pseudogene",NA,NA
"MIR3671",87,2,2,"miRNA",88,NA
"MIR101-1",74,3,3,"miRNA",75,NA
"LOC100129205",210,NA,NA,"pseudogene",NA,NA
"MRPS21P1",660,NA,NA,"pseudogene",NA,NA
"AK4",84603,5,10,"protein_coding",173,"5825"
"RPS29P7",284,NA,NA,"pseudogene",NA,NA
"DNAJC6",151103,2,21,"protein_coding",143,"2466"
"LOC102724416",31140,5,10,"lncRNA",153,"1891"
"COX6CP13",225,NA,NA,"pseudogene",NA,NA
"LOC112268227",11693,1,2,"lncRNA",4758,"2178"
"RNU2-15P",186,NA,NA,"pseudogene",NA,NA
"LEPR",220723,6,26,"protein_coding",146,"2587"
"LEPROT",15335,2,4,"protein_coding",104,"3121.5"
"LOC124904827",103,1,1,"snoRNA",104,NA
"LOC100422694",2545,NA,NA,"pseudogene",NA,NA
"RN7SL854P",294,NA,NA,"pseudogene",NA,NA
"PDE4B",582026,9,27,"protein_coding",123,"2095"
"PDE4B-AS1",8204,1,3,"lncRNA",188,"3874.5"
"RNU4-88P",85,NA,NA,"pseudogene",NA,NA
"LOC105378776",23078,1,3,"lncRNA",113,"11356"
"SGIP1",217727,9,37,"protein_coding",86,"3453"
"MIR3117",77,3,3,"miRNA",78,NA
"DYNLT5",26596,4,11,"protein_coding",125,"3938.5"
"INSL5",3536,1,2,"protein_coding",368,"2801"
"DNAI4",111972,5,22,"protein_coding",180,"9067"
"MIER1",63593,11,33,"protein_coding",103.5,"2999"
"SLC35D1",81194,6,21,"protein_coding",81,"1507"
"C1orf141",49477,8,18,"protein_coding",102.5,"3702"
"LOC124900434",134,1,1,"snoRNA",135,NA
"IL23R",127299,4,14,"protein_coding",124,"9268"
"RNU6-586P",103,NA,NA,"pseudogene",NA,NA
"RNU4ATAC4P",125,NA,NA,"pseudogene",NA,NA
"DNAJB6P4",873,NA,NA,"pseudogene",NA,NA
"IL12RB2",95187,7,27,"protein_coding",140.5,"4844"
"LOC124905713",3991,1,3,"lncRNA",244,"1658"
"SERBP1",22583,1,10,"protein_coding",162.5,"1901"
"RNU6-387P",104,NA,NA,"pseudogene",NA,NA
"LINC01702",10477,3,8,"lncRNA",111.5,"2181"
"RNU6-1031P",106,NA,NA,"pseudogene",NA,NA
"LOC105378780",28373,1,4,"lncRNA",120,"10358"
"LOC124904197",7786,1,2,"lncRNA",404.5,"6978"
"HNRNPCP9",18351,NA,NA,"pseudogene",NA,NA
"RN7SL392P",298,NA,NA,"pseudogene",NA,NA
"GADD45A",3133,1,4,"protein_coding",288,"486"
"GNG12",131918,2,7,"protein_coding",121.5,"55838"
"LOC105378781",41655,1,4,"lncRNA",91,"5350"
"RNU7-80P",52,NA,NA,"pseudogene",NA,NA
"GNG12-AS1",370673,1,10,"lncRNA",133,"17060"
"LOC124900403",24229,1,4,"lncRNA",1634,"9698"
"LOC100133029",970,NA,NA,"pseudogene",NA,NA
"DIRAS3",4663,1,2,"protein_coding",740.5,"3183"
"ARL5AP3",385,NA,NA,"pseudogene",NA,NA
"WLS",134536,5,19,"protein_coding",144,"3160"
"CTBP2P8",1672,NA,NA,"pseudogene",NA,NA
"MIR1262",92,2,2,"miRNA",93,NA
"RPS7P4",666,NA,NA,"pseudogene",NA,NA
"LOC105378782",12322,1,3,"lncRNA",213,"5042"
"ELOCP18",340,NA,NA,"pseudogene",NA,NA
"LOC124904198",31472,1,2,"lncRNA",1531.5,"28410"
"RPE65",21132,3,16,"protein_coding",NA,NA
"DEPDC1",22932,1,12,"protein_coding",157,"1754.5"
"DEPDC1-AS1",41960,1,3,"lncRNA",155,"20357"
"TXNP2",899,NA,NA,"pseudogene",NA,NA
"LOC107984967",24592,1,4,"lncRNA",153.5,"7407"
"LOC105378783",12281,1,5,"lncRNA",186,"3782"
"LINC01707",129100,1,5,"lncRNA",119,"16175"
"LOC105378787",32638,1,7,"lncRNA",176,"4887.5"
"LINC02791",33674,1,4,"lncRNA",NA,NA
"LINC01758",2154,1,2,"lncRNA",229,"1697"
"LOC105378789",112401,1,16,"lncRNA",115,"1576"
"LRRC7",578295,5,33,"protein_coding",112,"13950"
"SGO1P1",1446,NA,NA,"pseudogene",NA,NA
"RN7SL538P",303,NA,NA,"pseudogene",NA,NA
"PIN1P1",995,1,1,"transcribed_pseudogene",996,NA
"LRRC7-AS1",21720,3,10,"lncRNA",137,"2028"
"LRRC40",60801,3,17,"protein_coding",NA,NA
"RN7SL242P",295,NA,NA,"pseudogene",NA,NA
"SRSF11",47358,5,32,"protein_coding",110,"1944"
"ANKRD13C",95708,6,18,"protein_coding",NA,NA
"HHLA3",13212,1,7,"lncRNA",183,"513.5"
"HHLA3-AS1",878,1,2,"lncRNA",NA,NA
"CTH",28586,2,13,"protein_coding",116,"1899"
"LOC105378793",12516,1,3,"lncRNA",196,"5871"
"CHORDC1P5",2043,NA,NA,"pseudogene",NA,NA
"LOC105378794",8350,2,5,"lncRNA",141,"2133.5"
"CASP3P1",731,NA,NA,"pseudogene",NA,NA
"LINC01788",80040,1,7,"lncRNA",166,"2241"
"LOC102724572",42837,2,6,"lncRNA",108,"15963"
"PTGER3",195424,4,11,"protein_coding",502,"34188"
"ZRANB2-AS1",20685,1,3,"lncRNA",419,"9504"
"ZRANB2",17750,1,12,"protein_coding",102.5,"1579"
"MIR186",85,3,3,"miRNA",86,NA
"ZRANB2-DT",156443,1,4,"lncRNA",74,"14011"
"LOC105378795",2630,1,3,"lncRNA",141,"1133"
"NEGR1",887796,4,10,"protein_coding",152,"123400"
"NEGR1-IT1",42774,1,3,"lncRNA",196,"21120.5"
"GDI2P2",613,NA,NA,"pseudogene",NA,NA
"LOC105378797",342364,3,10,"lncRNA",128,"17634"
"LOC105378796",56443,1,4,"lncRNA",96.5,"12168"
"LOC105378798",69603,6,15,"lncRNA",111,"13531"
"RNU6-1246P",106,NA,NA,"pseudogene",NA,NA
"LINC02796",30206,3,8,"lncRNA",273,"5312"
"LINC02797",3964,1,3,"lncRNA",97,"1844"
"KRT8P21",1762,NA,NA,"pseudogene",NA,NA
"LOC105378800",215924,NA,NA,"pseudogene",NA,NA
"RN7SKP19",251,NA,NA,"pseudogene",NA,NA
"LINC01360",32701,2,5,"lncRNA",166,"2192"
"LOC105378801",21834,1,3,"lncRNA",134,"10648.5"
"LOC107985391",6776,1,3,"lncRNA",78,"3202"
"LOC105378802",12222,1,3,"lncRNA",151,"5906"
"LINC02238",63970,1,4,"lncRNA",190,"24972"
"RNA5SP50",90,NA,NA,"pseudogene",NA,NA
"RNU4ATAC8P",108,NA,NA,"pseudogene",NA,NA
"LRRIQ3",172133,7,20,"protein_coding",212,"26668"
"FPGT-TNNI3K",346018,2,28,"protein_coding",105,"2963"
"FPGT",10441,1,4,"protein_coding",143.5,"1473"
"TNNI3K",308904,1,1,"protein_coding",105,"3274"
"LRRC53",67713,3,7,"protein_coding",666,"4342"
"ERICH3",106202,7,23,"protein_coding",187,"5306.5"
"ERICH3-AS1",48671,2,4,"lncRNA",131.5,"15698.5"
"CRYZ",27522,3,12,"protein_coding",102,"3612"
"TYW3",33797,1,7,"protein_coding",116.5,"3468"
"LHX8",71021,4,13,"protein_coding",162,"3723"
"RNU6-622P",102,NA,NA,"pseudogene",NA,NA
"SLC44A5",517363,8,34,"protein_coding",88.5,"2678"
"LOC100422213",836,NA,NA,"pseudogene",NA,NA
"RNU6-503P",104,NA,NA,"pseudogene",NA,NA
"RPL29P5",621,NA,NA,"pseudogene",NA,NA
"ACADM",38970,1,14,"protein_coding",105,"3504"
"DLSTP1",3011,1,1,"transcribed_pseudogene",3012,NA
"RABGGTB",8895,2,13,"protein_coding",111,"608"
"SNORD45C",77,1,1,"snoRNA",78,NA
"SNORD45A",83,1,1,"snoRNA",84,NA
"SNORD45B",70,1,1,"snoRNA",71,NA
"MSH4",117675,1,20,"protein_coding",133,"3554"
"ASB17",18771,2,6,"protein_coding",286,"6260"
"LOC105378806",38033,1,3,"lncRNA",154,"18820"
"LOC101927342",8031,1,3,"lncRNA",75,"3831.5"
"LOC124904200",25986,2,9,"misc_RNA",341,"2873"
"ST6GALNAC3",562362,7,15,"protein_coding",195,"131459"
"LOC100418965",659,NA,NA,"pseudogene",NA,NA
"LOC105378807",2142,1,3,"lncRNA",64,"971.5"
"LOC124904201",12917,1,3,"lncRNA",85,"6332"
"TPI1P1",1269,NA,NA,"pseudogene",NA,NA
"RNU6-161P",105,NA,NA,"pseudogene",NA,NA
"LINC02567",21151,1,3,"lncRNA",125,"10352"
"ST6GALNAC5",200652,1,5,"protein_coding",246,"9126.5"
"MIR7156",59,3,3,"miRNA",60,NA
"PIGK",130424,1,11,"protein_coding",112,"5186.5"
"RPL17P6",610,NA,NA,"pseudogene",NA,NA
"LOC100421400",651,NA,NA,"pseudogene",NA,NA
"LOC105378808",32705,2,6,"lncRNA",245,"1130"
"AK5",278629,6,21,"protein_coding",166,"6664"
"RNU7-8P",58,NA,NA,"pseudogene",NA,NA
"ZZZ3",120953,5,22,"protein_coding",134.5,"2032"
"RNA5SP20",83,NA,NA,"pseudogene",NA,NA
"RN7SL370P",294,NA,NA,"pseudogene",NA,NA
"USP33",63845,3,29,"protein_coding",113,"1401.5"
"ACTG1P21",1011,NA,NA,"pseudogene",NA,NA
"MIGA1",99909,4,22,"protein_coding",120,"2571"
"RNA5SP21",95,NA,NA,"pseudogene",NA,NA
"LOC653631",2167,NA,NA,"pseudogene",NA,NA
"NSRP1P1",1919,NA,NA,"pseudogene",NA,NA
"HSPE1P25",560,NA,NA,"pseudogene",NA,NA
"NEXN-AS1",8162,1,3,"lncRNA",551,"2941"
"NEXN",55266,2,15,"protein_coding",186,"1891"
"FUBP1",35494,6,37,"protein_coding",100,"585.5"
"DNAJB4",38819,3,8,"protein_coding",569,"7731"
"LOC100131495",1122,NA,NA,"pseudogene",NA,NA
"GIPC2",93370,3,8,"protein_coding",181,"14088"
"RNU6-1102P",95,NA,NA,"pseudogene",NA,NA
"LOC100422537",789,NA,NA,"pseudogene",NA,NA
"RNA5SP22",108,NA,NA,"pseudogene",NA,NA
"LOC107984997",20636,1,3,"lncRNA",956,"8144.5"
"RNFT1P2",1392,NA,NA,"pseudogene",NA,NA
"MGC27382",139883,1,6,"lncRNA",186,"20447"
"RNA5SP23",104,NA,NA,"pseudogene",NA,NA
"PTGFR",50215,3,6,"protein_coding",566.5,"4332"
"IFI44L",25686,1,10,"protein_coding",162.5,"720"
"IFI44",14289,8,19,"protein_coding",172,"886"
"RPL23P3",426,NA,NA,"pseudogene",NA,NA
"LOC652549",1784,NA,NA,"pseudogene",NA,NA
"ADGRL4",116570,1,15,"protein_coding",169,"1409"
"PSAT1P3",1373,NA,NA,"pseudogene",NA,NA
"LOC107984998",67318,1,5,"lncRNA",153,"286"
"LOC105378810",138957,2,6,"lncRNA",210.5,"13591"
"LOC105378812",8386,1,3,"lncRNA",79,"4033"
"LOC105378811",15332,2,7,"lncRNA",126,"2140"
"LINC02792",21598,1,3,"lncRNA",113,"9906"
"ADH5P2",1401,NA,NA,"pseudogene",NA,NA
"LOC553139",2599,NA,NA,"pseudogene",NA,NA
"HMGB1P18",922,NA,NA,"pseudogene",NA,NA
"HNRNPA1P64",1127,NA,NA,"pseudogene",NA,NA
"COX6A1P1",533,NA,NA,"pseudogene",NA,NA
"LINC01781",111036,2,5,"lncRNA",129,"2825"
"MTND2P30",398,NA,NA,"pseudogene",NA,NA
"RPL7P10",831,NA,NA,"pseudogene",NA,NA
"LOC105378813",19463,1,3,"lncRNA",323,"18818"
"RPL10AP4",714,NA,NA,"pseudogene",NA,NA
"LOC107985018",30547,1,4,"lncRNA",183,"8970"
"ADGRL2",687836,16,59,"protein_coding",171,"1847"
"HNRNPA3P14",1191,NA,NA,"pseudogene",NA,NA
"ARID3BP1",4160,NA,NA,"pseudogene",NA,NA
"LOC101927434",43833,1,4,"lncRNA",121.5,"584"
"RPS20P7",511,NA,NA,"pseudogene",NA,NA
"ST13P20",1646,NA,NA,"pseudogene",NA,NA
"LOC105378814",34813,2,5,"lncRNA",216.5,"9351"
"LOC107985396",18973,1,4,"lncRNA",69.5,"3989"
"LINC01362",263569,1,11,"lncRNA",113,"6766.5"
"LINC01361",12322,2,4,"lncRNA",226,"4754.5"
"LOC105378816",50269,3,8,"lncRNA",101,"4983"
"LINC01712",8717,1,2,"lncRNA",367.5,"7983"
"LOC107985043",57340,1,5,"protein_coding",85,"23711"
"ARF4P5",894,NA,NA,"pseudogene",NA,NA
"LINC01725",285246,1,3,"lncRNA",178,"141040.5"
"LOC101927560",59063,1,4,"lncRNA",206.5,"10385"
"TTLL7",134158,5,28,"protein_coding",153.5,"4095"
"TTLL7-IT1",5182,1,2,"lncRNA",1460.5,"2262"
"PRKACB",160430,10,20,"protein_coding",108.5,"2988"
"TXN2P1",1292,NA,NA,"pseudogene",NA,NA
"NEDD8P1",595,NA,NA,"pseudogene",NA,NA
"LOC124904808",136,1,1,"snoRNA",137,NA
"SAMD13",52271,4,7,"protein_coding",103,"22350"
"UOX",19831,1,7,"transcribed_pseudogene",124,"2083.5"
"DNASE2B",16506,4,9,"protein_coding",198,"2148"
"RPF1",19085,1,9,"protein_coding",127,"1251.5"
"GNG5",8255,1,4,"protein_coding",185,"3276"
"SPATA1",60986,14,32,"protein_coding",111,"3025"
"CTBS",24825,1,7,"protein_coding",172,"2763"
"LOC105378819",5602,1,2,"lncRNA",399.5,"4804"
"LINC01461",23069,1,3,"lncRNA",152,"11255"
"LINC01555",6797,1,3,"lncRNA",137,"1958"
"LOC124904206",6710,1,5,"lncRNA",138,"1059.5"
"SSX2IP",52917,7,25,"protein_coding",151,"1859.5"
"LOC102724892",16672,1,3,"lncRNA",448,"7052"
"LPAR3",81621,4,7,"protein_coding",757,"39050.5"
"MCOLN2",71576,6,21,"protein_coding",136.5,"2836"
"MCOLN3",30417,6,22,"protein_coding",118,"1812"
"DNAI3",70768,2,24,"protein_coding",125,"2198"
"MIR4423",79,3,3,"miRNA",80,NA
"SYDE2",44134,4,11,"protein_coding",696,"6067"
"C1orf52",9728,2,5,"protein_coding",252,"296"
"BCL10",11304,3,6,"protein_coding",337,"4027"
"BCL10-AS1",1729,1,2,"lncRNA",443.5,"843"
"DDAH1",259729,5,11,"protein_coding",123,"7168"
"CCN1",3189,1,5,"protein_coding",287,"224"
"LOC124900422",76,1,1,"snoRNA",77,NA
"LOC112268231",10803,2,4,"lncRNA",1602,"312"
"LOC107985057",6222,1,2,"lncRNA",2788,"647"
"ZNHIT6",59047,3,14,"protein_coding",104,"1721.5"
"LOC105378823",9813,1,4,"lncRNA",69.5,"1286"
"COL24A1",427617,12,80,"protein_coding",54,"3146.5"
"RNA5SP51",118,NA,NA,"pseudogene",NA,NA
"LINC02795",38162,1,3,"lncRNA",1790,"17151.5"
"LOC124905714",8516,1,2,"lncRNA",460,"7597"
"ODF2L",49475,5,25,"protein_coding",121.5,"1545"
"MIR7856",55,2,2,"miRNA",56,NA
"LOC100420166",723,NA,NA,"pseudogene",NA,NA
"CLCA2",32381,2,15,"protein_coding",201.5,"2243"
"CLCA1",31345,1,14,"protein_coding",192.5,"2095"
"LOC124904210",51724,1,3,"lncRNA",119,"25655.5"
"LOC105378827",2330,2,3,"lncRNA",636.5,"917"
"LOC105378826",2920,1,3,"lncRNA",177,"1140.5"
"CLCA4",33676,2,15,"protein_coding",201,"1381"
"CDCA4P2",2243,NA,NA,"pseudogene",NA,NA
"CLCA4-AS1",133300,2,6,"lncRNA",220.5,"4787"
"CLCA3P",21104,1,15,"transcribed_pseudogene",178,"933.5"
"SH3GLB1",43606,2,13,"protein_coding",NA,NA
"RPL17P5",613,NA,NA,"pseudogene",NA,NA
"LOC105378831",4388,2,4,"lncRNA",164,"1957.5"
"SELENOF",51977,3,7,"protein_coding",153,"12537"
"HS2ST1",197514,2,8,"protein_coding",198.5,"8245"
"LOC100421465",1143,NA,NA,"pseudogene",NA,NA
"LINC01140",39426,3,7,"lncRNA",230,"750"
"LINC02801",38646,1,4,"lncRNA",149,"7384"
"LMO4",20046,2,7,"protein_coding",156,"2499.5"
"LINC01364",18135,1,4,"lncRNA",223.5,"2383"
"LOC105378833",39258,2,6,"lncRNA",323,"2278"
"LOC105378834",10208,1,4,"lncRNA",107.5,"2680"
"RNA5SP52",133,NA,NA,"pseudogene",NA,NA
"LOC107985408",28271,1,4,"lncRNA",122,"4803"
"LOC105378835",2584,2,5,"lncRNA",144,"925.5"
"LOC107985518",9642,2,5,"lncRNA",108.5,"2587"
"LOC124904212",21612,1,2,"lncRNA",2395.5,"16822"
"LINC01773",7895,1,3,"lncRNA",1089,"2509.5"
"LOC101927871",6855,1,3,"lncRNA",50,"3326"
"LOC105378836",11712,1,2,"lncRNA",330,"11053"
"LOC105378839",2917,1,2,"lncRNA",725,"1468"
"RN7SL583P",286,NA,NA,"pseudogene",NA,NA
"PKN2-AS1",147607,1,4,"lncRNA",177,"16244"
"RPL36AP10",443,NA,NA,"pseudogene",NA,NA
"LOC105378838",15874,1,3,"lncRNA",81,"7793.5"
"PKN2",151955,4,27,"protein_coding",NA,NA
"LOC124904214",7356,1,2,"lncRNA",2658,"2041"
"RNU6-125P",106,NA,NA,"pseudogene",NA,NA
"ELOCP19",424,NA,NA,"pseudogene",NA,NA
"GTF2B",38953,2,9,"protein_coding",134,"3778"
"KYAT3",71921,4,21,"protein_coding",121,"3691"
"LOC100130455",597,NA,NA,"pseudogene",NA,NA
"RBMXL1",13178,1,1,"protein_coding",2328,"8523"
"GBP3",16193,2,15,"protein_coding",197,"711"
"LOC105378841",64651,4,10,"lncRNA",558,"1971"
"GBP1",12871,1,11,"protein_coding",203,"784.5"
"PTGES3P1",1836,NA,NA,"pseudogene",NA,NA
"GBP2",19990,1,11,"protein_coding",207,"1360.5"
"LOC112268267",7453,1,2,"lncRNA",3293,"868"
"LOC105378842",51396,2,6,"lncRNA",215,"19947"
"GBP7",44271,1,11,"protein_coding",197,"2829.5"
"GBP4",17797,1,11,"protein_coding",195,"1320"
"LOC107985076",7986,1,3,"lncRNA",550,"3409.5"
"LOC100421401",65568,NA,NA,"pseudogene",NA,NA
"GBP5",16669,1,12,"protein_coding",209,"843.5"
"LOC729930",1104,1,1,"transcribed_pseudogene",1105,NA
"GBP6",24349,2,14,"protein_coding",197,"873.5"
"CAPNS1P1",639,NA,NA,"pseudogene",NA,NA
"GBP1P1",17246,1,5,"transcribed_pseudogene",140,"2784.5"
"LOC105378844",8372,1,3,"lncRNA",136,"3342"
"LRRC8B",73047,1,9,"protein_coding",98,"8361"
"LOC124904216",4757,2,4,"lncRNA",65,"1991"
"LOC128092251",62,1,1,"protein_coding",NA,NA
"LRRC8C",103709,4,8,"protein_coding",203,"39620.5"
"LRRC8C-DT",8045,1,3,"lncRNA",238,"3628.5"
"LOC100505788",480,NA,NA,"pseudogene",NA,NA
"LOC124905715",16192,1,4,"lncRNA",6566,"3061"
"LOC124904833",106,1,1,"snoRNA",107,NA
"LOC101927975",2126,1,2,"lncRNA",526.5,"1074"
"LRRC8D",115612,9,13,"protein_coding",NA,NA
"LOC105378847",21709,1,3,"lncRNA",2141,"8120.5"
"RN7SKP272",231,NA,NA,"pseudogene",NA,NA
"GEMIN8P4",1701,1,1,"transcribed_pseudogene",1702,NA
"ZNF326",40426,4,18,"protein_coding",121.5,"2837"
"LOC105378848",3432,1,3,"lncRNA",102,"1504"
"LOC105378849",65797,2,6,"lncRNA",130,"16826"
"RNU6-695P",103,NA,NA,"pseudogene",NA,NA
"LOC107985088",22285,3,9,"lncRNA",228,"2788"
"LOC105378850",24026,2,4,"lncRNA",294.5,"5243"
"LOC105378851",12322,1,3,"lncRNA",140,"5991"
"LINC02787",35932,2,7,"lncRNA",163.5,"8437"
"SNORD3G",213,1,1,"snoRNA",214,NA
"BARHL2",5763,2,4,"protein_coding",732,"1860"
"LINC02609",68765,3,7,"lncRNA",336,"12646"
"LINC01763",3139,1,2,"lncRNA",596.5,"1947"
"PHKA1P1",1019,NA,NA,"pseudogene",NA,NA
"ZNF644",107477,6,15,"protein_coding",103,"39271.5"
"RPL5P6",992,NA,NA,"pseudogene",NA,NA
"HFM1",147223,17,54,"protein_coding",111,"1715.5"
"FEN1P1",2014,NA,NA,"pseudogene",NA,NA
"LOC124904661",76,NA,NA,"pseudogene",NA,NA
"LOC107985417",2021,1,2,"lncRNA",512.5,"997"
"LOC105378856",9944,1,3,"lncRNA",246,"4576"
"CDC7",26783,8,20,"protein_coding",143,"796"
"LOC102723436",51343,2,7,"lncRNA",180,"6158"
"WDR82P2",3919,NA,NA,"pseudogene",NA,NA
"RPL39P13",230,NA,NA,"pseudogene",NA,NA
"HSP90B3P",1823,NA,NA,"pseudogene",NA,NA
"TGFBR3",225926,8,27,"protein_coding",164,"4257.5"
"LOC124904659",153,NA,NA,"pseudogene",NA,NA
"RN7SL653P",292,NA,NA,"pseudogene",NA,NA
"BRDT",64998,6,31,"protein_coding",173,"1275"
"LOC124904218",8342,1,2,"lncRNA",3091.5,"2160"
"EPHX4",33567,1,7,"protein_coding",149,"3603.5"
"LPCAT2BP",1313,NA,NA,"pseudogene",NA,NA
"SETSIP",878,1,1,"protein_coding",879,NA
"BTBD8",104394,5,24,"protein_coding",140,"1540.5"
"GAPDHP46",1193,NA,NA,"pseudogene",NA,NA
"PRKAR1AP1",1004,NA,NA,"pseudogene",NA,NA
"LOC100419803",624,NA,NA,"pseudogene",NA,NA
"C1orf146",27888,2,8,"protein_coding",NA,NA
"ACTBP12",433,NA,NA,"pseudogene",NA,NA
"GLMN",124445,9,29,"protein_coding",96.5,"1111"
"RPAP2",102975,5,17,"protein_coding",88,"2856"
"RN7SL824P",296,NA,NA,"pseudogene",NA,NA
"GFI1",13904,7,13,"protein_coding",183,"1600"
"EVI5",284024,2,25,"protein_coding",135,"10266"
"HMGB3P9",882,NA,NA,"pseudogene",NA,NA
"RNU4-59P",115,NA,NA,"pseudogene",NA,NA
"LOC100289500",600,NA,NA,"pseudogene",NA,NA
"H3P3",155,NA,NA,"pseudogene",NA,NA
"CCNJP2",1582,NA,NA,"pseudogene",NA,NA
"RPL5",9938,2,11,"protein_coding",124,"1126"
"DIPK1A",128764,3,7,"protein_coding",156,"3484"
"SNORD21",94,1,1,"snoRNA",95,NA
"SNORA66",132,1,1,"snoRNA",133,NA
"LOC124900443",123,NA,NA,"pseudogene",NA,NA
"LOC100127934",608,NA,NA,"pseudogene",NA,NA
"RNU6-970P",106,NA,NA,"pseudogene",NA,NA
"RN7SL692P",287,NA,NA,"pseudogene",NA,NA
