"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type"
"CORIN",244058,2,23,"protein_coding"
"LOC105374444",21386,3,8,"lncRNA"
"MIR8053",74,2,2,"miRNA"
"RPL15P7",949,NA,NA,"pseudogene"
"LOC101927179",65476,1,4,"lncRNA"
"NFXL1",67403,2,27,"protein_coding"
"LOC101927157",76290,1,3,"lncRNA"
"CNGA1",80533,3,14,"protein_coding"
"NIPAL1",23394,3,8,"protein_coding"
"TXK",67623,7,23,"protein_coding"
"RNU6-838P",107,NA,NA,"pseudogene"
"LOC124900886",57,NA,NA,"pseudogene"
"TEC",134165,6,27,"protein_coding"
"LOC105374445",20830,2,4,"lncRNA"
"SLAIN2",84710,1,9,"protein_coding"
"LOC124906429",13505,1,2,"lncRNA"
"LOC107986278",2765,NA,NA,"pseudogene"
"SLC10A4",6179,1,3,"protein_coding"
"ZAR1",7841,2,8,"protein_coding"
"FRYL",282462,13,81,"protein_coding"
"RNU5E-3P",67,NA,NA,"pseudogene"
"OCIAD1",31161,8,20,"protein_coding"
"OCIAD1-AS1",8196,1,2,"lncRNA"
"OCIAD2",21811,2,10,"protein_coding"
"RNU6-158P",99,NA,NA,"pseudogene"
"LOC124900176",140,1,1,"snoRNA"
"CWH43",75831,4,20,"protein_coding"
"TPI1P4",913,NA,NA,"pseudogene"
"LOC101927209",46877,3,6,"lncRNA"
"LOC100419003",954,NA,NA,"pseudogene"
"SNX18P23",1044,NA,NA,"pseudogene"
"LOC124900699",7289,NA,NA,"pseudogene"
"MTCO3P39",517,NA,NA,"pseudogene"
"MTND3P22",314,NA,NA,"pseudogene"
"LOC124900865",8837,NA,NA,"pseudogene"
"LOC124906467",8837,NA,NA,"pseudogene"
"ANKRD20A12P",16186,1,5,"transcribed_pseudogene"
"SNX18P16",395,NA,NA,"pseudogene"
"SNX18P15",953,NA,NA,"pseudogene"
"DCUN1D4",82953,19,29,"protein_coding"
"DUTP7",482,NA,NA,"pseudogene"
"RPL37AP2",290,NA,NA,"pseudogene"
"LRRC66",26704,4,8,"protein_coding"
"SGCB",17594,3,8,"protein_coding"
"LINC02480",2115,1,3,"lncRNA"
"SPATA18",46134,6,19,"protein_coding"
"LOC107986279",55414,1,2,"lncRNA"
"LOC100419861",1026,NA,NA,"pseudogene"
"RNU6-1252P",103,NA,NA,"pseudogene"
"LOC124900897",103,1,1,"snoRNA"
"USP46",68349,3,14,"protein_coding"
"USP46-DT",2092,1,2,"lncRNA"
"DANCR",8303,3,7,"lncRNA"
"MIR4449",65,2,2,"miRNA"
"SNORA26",121,1,1,"snoRNA"
"ERVMER34-1",8872,1,4,"protein_coding"
"LOC124900185",122,1,1,"snoRNA"
"LOC107986281",2605,1,2,"lncRNA"
"LINC01618",25457,1,5,"lncRNA"
"RASL11B",4518,1,4,"protein_coding"
"SCFD2",493442,6,17,"protein_coding"
"LOC101928658",23710,1,4,"lncRNA"
"LOC124900701",9066,1,3,"lncRNA"
"RNU6-310P",106,NA,NA,"pseudogene"
"LOC105377654",3707,3,6,"lncRNA"
"FIP1L1",83197,1,30,"protein_coding"
"LNX1",193316,6,20,"protein_coding"
"LNX1-AS1",23229,1,4,"lncRNA"
"COMMD5P1",673,NA,NA,"pseudogene"
"LNX1-AS2",12428,1,2,"lncRNA"
"LOC100506444",38441,1,3,"lncRNA"
"LOC124900702",17913,2,4,"lncRNA"
"LOC100129728",953,NA,NA,"pseudogene"
"RPL21P44",1786,1,1,"transcribed_pseudogene"
"CHIC2",82110,3,10,"protein_coding"
"MORF4L2P1",1762,NA,NA,"pseudogene"
"GSX2",2335,1,2,"protein_coding"
"LOC124900899",104,1,1,"snoRNA"
"LOC124900925",196,NA,NA,"pseudogene"
"RPL22P13",349,NA,NA,"pseudogene"
"PDGFRA",68950,6,28,"protein_coding"
"LINC02283",23246,1,2,"lncRNA"
"LINC02260",3921,1,2,"lncRNA"
"KIT",82713,1,24,"protein_coding"
"LOC105377657",62507,3,7,"lncRNA"
"LINC02358",14043,1,2,"lncRNA"
"RPL38P3",282,NA,NA,"pseudogene"
"LOC124900703",23270,1,2,"lncRNA"
"RNU6-410P",106,NA,NA,"pseudogene"
"RN7SL424P",288,NA,NA,"pseudogene"
"KDR",47105,1,30,"protein_coding"
"RN7SL822P",295,NA,NA,"pseudogene"
"METTL5P3",629,NA,NA,"pseudogene"
"RNU6-746P",108,NA,NA,"pseudogene"
"LRRC34P2",995,NA,NA,"pseudogene"
"SRD5A3",26868,2,6,"protein_coding"
"FCF1P8",992,NA,NA,"pseudogene"
"SRD5A3-AS1",18985,1,4,"lncRNA"
"LINC02928",8641,1,3,"lncRNA"
"TMEM165",57440,3,10,"protein_coding"
"CLOCK",118990,11,36,"protein_coding"
"RN7SKP30",333,NA,NA,"pseudogene"
"PDCL2",35738,3,8,"protein_coding"
"NMU",41602,4,13,"protein_coding"
"LOC105377660",8182,1,3,"lncRNA"
"RNU6-276P",95,NA,NA,"pseudogene"
"EXOC1L",17699,2,5,"protein_coding"
"LOC105377661",3964,1,3,"lncRNA"
"EXOC1",51444,3,23,"protein_coding"
"RNU6-652P",106,NA,NA,"pseudogene"
"LOC105377663",58426,9,17,"lncRNA"
"CEP135",84415,3,30,"protein_coding"
"LOC124900705",21747,2,5,"lncRNA"
"CRACD",281290,8,21,"protein_coding"
"RNA5SP161",88,NA,NA,"pseudogene"
"LOC101928760",16783,1,2,"lncRNA"
"LOC124906430",2504,1,2,"lncRNA"
"MRPL22P1",687,NA,NA,"pseudogene"
"RNA5SP162",40,NA,NA,"pseudogene"
"AASDH",49224,3,18,"protein_coding"
"RPL7AP31",876,NA,NA,"pseudogene"
"PPAT",42241,1,12,"protein_coding"
"PAICS",54083,6,26,"protein_coding"
"LOC124900706",5728,1,2,"lncRNA"
"SRP72",36064,2,21,"protein_coding"
"ARL9",19246,4,8,"protein_coding"
"LOC105377665",7140,2,5,"lncRNA"
"THEGL",95620,7,21,"protein_coding"
"GLDCP1",3821,NA,NA,"pseudogene"
"HOPX",33826,7,15,"protein_coding"
"LOC124900708",12659,2,6,"lncRNA"
"LOC105377666",13112,1,3,"lncRNA"
"CHAER1",7924,5,11,"lncRNA"
"RPL17P20",606,NA,NA,"pseudogene"
"LOC285453",698,NA,NA,"pseudogene"
"RN7SL492P",294,NA,NA,"pseudogene"
"LOC105377668",6033,1,3,"lncRNA"
"RN7SL357P",297,NA,NA,"pseudogene"
"SPINK2",12010,2,10,"protein_coding"
"REST",27930,3,6,"protein_coding"
"NOA1",14252,1,7,"protein_coding"
"POLR2B",52251,1,26,"protein_coding"
"LOC124900913",95,NA,NA,"pseudogene"
"RNU6-998P",100,NA,NA,"pseudogene"
"IGFBP7",79562,2,6,"protein_coding"
"UBE2CP3",636,NA,NA,"pseudogene"
"LOC124900898",102,1,1,"snoRNA"
"IGFBP7-AS1",95520,1,5,"lncRNA"
"LOC107986283",8853,1,3,"lncRNA"
"RPS26P24",330,NA,NA,"pseudogene"
"LINC02380",40122,1,6,"lncRNA"
"LOC124900904",104,1,1,"snoRNA"
"LOC105377670",4812,1,3,"lncRNA"
"SRIP1",548,NA,NA,"pseudogene"
"LINC02494",11814,1,3,"lncRNA"
"LOC124900833",3322,1,3,"lncRNA"
"LOC107986228",22969,1,4,"lncRNA"
"LOC105377672",10278,2,6,"lncRNA"
"LOC105377246",8096,1,3,"lncRNA"
"LINC02429",62671,2,4,"lncRNA"
"LINC02619",967,1,4,"lncRNA"
"RNU6-1325P",104,NA,NA,"pseudogene"
"LINC02496",45541,1,5,"lncRNA"
"LOC100421808",543,NA,NA,"pseudogene"
"MIR548AG1",65,2,2,"miRNA"
"LINC02271",9995,1,4,"lncRNA"
"LOC124900173",113386,1,3,"protein_coding"
"ADGRL3",877379,7,39,"protein_coding"
"RPL17P19",548,NA,NA,"pseudogene"
"RPS12P9",839,NA,NA,"pseudogene"
"ADGRL3-AS1",89996,1,8,"lncRNA"
"RPS15AP17",459,NA,NA,"pseudogene"
"LOC101927145",87612,3,6,"lncRNA"
"RPL21P47",476,NA,NA,"pseudogene"
"LOC100289193",318,NA,NA,"pseudogene"
"LOC124900709",6379,1,3,"lncRNA"
"LOC124900921",151,NA,NA,"pseudogene"
"LOC100131441",853,NA,NA,"pseudogene"
"HMGN1P11",1212,NA,NA,"pseudogene"
"LOC124906451",10915,1,3,"lncRNA"
"EXOC5P1",2329,NA,NA,"pseudogene"
"LARP1BP1",1457,NA,NA,"pseudogene"
"LOC105377253",51761,4,10,"lncRNA"
"LOC105377254",33366,4,11,"lncRNA"
"LOC124900851",1724,1,2,"lncRNA"
"TECRL",133157,5,16,"protein_coding"
"RNU6-191P",93,NA,NA,"pseudogene"
"DPP3P1",2567,NA,NA,"pseudogene"
"MTCO3P27",195,NA,NA,"pseudogene"
"MTCYBP16",1128,NA,NA,"pseudogene"
"MTND6P16",519,NA,NA,"pseudogene"
"MTND5P13",1647,NA,NA,"pseudogene"
"MTND4LP31",293,NA,NA,"pseudogene"
"MTCO3P28",514,NA,NA,"pseudogene"
"RPS6P5",832,NA,NA,"pseudogene"
"LOC107986284",116269,1,4,"lncRNA"
"LOC105377255",2783,1,3,"lncRNA"
"LINC02232",90209,1,7,"lncRNA"
"LOC100533670",1326,NA,NA,"pseudogene"
"LOC112268475",760,NA,NA,"pseudogene"
"LINC02835",16521,1,3,"lncRNA"
"EPHA5",352344,3,21,"protein_coding"
"RPL6P10",922,NA,NA,"pseudogene"
"EPHA5-AS1",23438,1,4,"lncRNA"
"LOC105377258",4034,1,3,"lncRNA"
"RNU2-40P",195,NA,NA,"pseudogene"
"LOC105377259",17668,3,9,"lncRNA"
"LOC105377260",3322,1,3,"lncRNA"
"LOC105377261",148659,4,11,"lncRNA"
"IFITM3P1",616,NA,NA,"pseudogene"
"MIR1269A",104,2,2,"miRNA"
"RPS23P3",429,NA,NA,"pseudogene"
"LOC105377262",215025,1,4,"lncRNA"
"RNU6-699P",109,NA,NA,"pseudogene"
"LOC101927237",4702,1,3,"lncRNA"
"RNU1-63P",162,NA,NA,"pseudogene"
"RNA5SP527",126,NA,NA,"pseudogene"
"CENPC",76720,2,22,"protein_coding"
"STAP1",48609,1,11,"protein_coding"
"UBA6",88535,3,36,"protein_coding"
"LOC107986207",341,NA,NA,"pseudogene"
"UBA6-DT",21227,1,2,"lncRNA"
"ST3GAL1P1",1409,NA,NA,"pseudogene"
"LOC100419862",2242,NA,NA,"pseudogene"
"LOC100419046",1173,NA,NA,"pseudogene"
"GNRHR",17271,2,5,"protein_coding"
"LOC124900175",150,1,1,"snoRNA"
"TMPRSS11CP",8553,NA,NA,"pseudogene"
"TMPRSS11D",63098,2,12,"protein_coding"
"TMPRSS11A",54069,1,11,"protein_coding"
"TMPRSS11GP",5646,1,4,"transcribed_pseudogene"
"RNU6-95P",106,NA,NA,"pseudogene"
"LOC128966752",15795,1,1,"protein_coding"
"MTND2P41",772,NA,NA,"pseudogene"
"TMPRSS11F",129285,4,16,"protein_coding"
"LOC550113",19763,1,3,"lncRNA"
"SYT14P1",2683,1,2,"transcribed_pseudogene"
"LOC100420693",1533,NA,NA,"pseudogene"
"FTLP10",27286,1,3,"transcribed_pseudogene"
"TMPRSS11BNL",31058,1,10,"transcribed_pseudogene"
"TMPRSS11B",19060,2,13,"protein_coding"
"LOC100422188",2137,NA,NA,"pseudogene"
"APOOP4",764,NA,NA,"pseudogene"
"YTHDC1",39716,1,18,"protein_coding"
"MT2P1",400,NA,NA,"pseudogene"
"LOC124900917",154,NA,NA,"pseudogene"
"TMPRSS11E",50102,2,11,"protein_coding"
"UGT2B29P",753,NA,NA,"pseudogene"
"UGT2B17",39149,1,7,"protein_coding"
"LOC100422402",685,NA,NA,"pseudogene"
"LOC100132651",798,NA,NA,"pseudogene"
"LOC728807",770,NA,NA,"pseudogene"
"UGT2B15",26588,2,8,"protein_coding"
"LOC728811",3851,NA,NA,"pseudogene"
"LOC100422026",3087,NA,NA,"pseudogene"
"LOC100422189",732,NA,NA,"pseudogene"
"UGT2B10",16029,1,9,"protein_coding"
"LOC101930041",46642,NA,NA,"pseudogene"
"LOC100174950",2146,NA,NA,"pseudogene"
"LOC101927264",6541,NA,NA,"pseudogene"
"UGT2A3",23318,2,10,"protein_coding"
"LOC100289568",3004,NA,NA,"pseudogene"
"LOC642381",762,NA,NA,"pseudogene"
"UGT2B27P",735,NA,NA,"pseudogene"
"LOC100422020",684,NA,NA,"pseudogene"
"UGT2B26P",17271,NA,NA,"pseudogene"
"LOC105377265",17122,4,10,"lncRNA"
"UGT2B7",61346,2,8,"protein_coding"
"LOC124906385",3472,1,2,"lncRNA"
"LOC100127903",2852,NA,NA,"pseudogene"
"LOC124906468",4508,NA,NA,"pseudogene"
"LOC101060162",2902,NA,NA,"pseudogene"
"LOC105377267",34675,1,6,"lncRNA"
"UGT2B11",27966,3,9,"protein_coding"
"LOC100422021",929,NA,NA,"pseudogene"
"LOC100533845",8532,NA,NA,"pseudogene"
"LOC100422190",699,NA,NA,"pseudogene"
"LOC100422029",930,NA,NA,"pseudogene"
"UGT2B24P",14759,NA,NA,"pseudogene"
"UGT2B4",45869,2,8,"protein_coding"
"UGT2A3P7",651,NA,NA,"pseudogene"
"LOC100422024",11184,NA,NA,"pseudogene"
"UGT2A1",64825,1,9,"protein_coding"
"UGT2A2",51216,1,1,"protein_coding"
"SULT1B1",39451,1,8,"protein_coding"
"SULT1D1P",22009,NA,NA,"pseudogene"
"SULT1E1",18950,3,11,"protein_coding"
"CSN1S1",15492,1,17,"protein_coding"
"CSN2",10473,1,9,"protein_coding"
"LOC105377269",6601,1,3,"lncRNA"
"STATH",6606,1,6,"protein_coding"
"HTN3",8079,1,6,"protein_coding"
"HTN1",8410,2,7,"protein_coding"
"CSN1S2AP",17864,1,13,"transcribed_pseudogene"
"CSN1S2BP",13096,1,8,"transcribed_pseudogene"
"PRR27",12395,1,5,"protein_coding"
"LOC105377270",13985,1,3,"lncRNA"
"ODAM",8851,3,15,"protein_coding"
"FDCSP",9490,1,5,"protein_coding"
"CSN3",12854,2,7,"protein_coding"
"CABS1",2136,1,2,"protein_coding"
"SMR3A",6399,1,3,"protein_coding"
"SMR3B",7117,1,3,"protein_coding"
"OPRPN",12255,1,4,"protein_coding"
"MUC7",52504,4,7,"protein_coding"
"AMTN",14160,1,10,"protein_coding"
"AMBN",15032,1,13,"protein_coding"
"ENAM",18080,2,10,"protein_coding"
"JCHAIN",21359,5,9,"protein_coding"
"LOC101927297",8159,5,8,"lncRNA"
"UTP3",2019,1,1,"protein_coding"
"RNU6-520P",103,NA,NA,"pseudogene"
"RNU6-784P",105,NA,NA,"pseudogene"
"RUFY3",104854,14,33,"protein_coding"
"LOC124900900",100,1,1,"snoRNA"
"GRSF1",27402,4,13,"protein_coding"
"LOC124900887",101,1,1,"snRNA"
"RNU6-891P",109,NA,NA,"pseudogene"
"MOB1B",86316,4,11,"protein_coding"
"DCK",37253,2,8,"protein_coding"
"SLC4A4",509416,11,39,"protein_coding"
"LOC107986208",922,NA,NA,"pseudogene"
"LOC124900836",654,1,2,"transcribed_pseudogene"
"LDHAL6EP",1002,NA,NA,"pseudogene"
"LOC107986285",5253,1,4,"lncRNA"
"LOC105377271",40134,2,5,"lncRNA"
"GC",63840,4,17,"protein_coding"
"RNA5SP163",98,NA,NA,"pseudogene"
"NPFFR2",116255,4,8,"protein_coding"
"ADAMTS3",289332,3,24,"protein_coding"
"HNRNPA1P67",1197,NA,NA,"pseudogene"
"LOC105377273",44706,1,3,"lncRNA"
"RNU4ATAC9P",125,NA,NA,"pseudogene"
"LOC107986286",14857,1,3,"lncRNA"
"RNU6ATAC5P",124,NA,NA,"pseudogene"
"COX18",17397,2,11,"protein_coding"
"ANKRD17",185453,9,41,"protein_coding"
"HMGA1P2",1724,NA,NA,"pseudogene"
"LOC124906432",3350,1,2,"lncRNA"
"ANKRD17-DT",59082,3,7,"lncRNA"
"LOC124900180",124,1,1,"snoRNA"
"LOC124900606",13128,3,6,"lncRNA"
"LOC124906433",12364,1,3,"lncRNA"
"ALB",17196,1,15,"protein_coding"
"AFP",19887,1,17,"protein_coding"
"AFM",22238,4,20,"protein_coding"
"LINC02499",19734,1,4,"lncRNA"
"LOC107986287",10788,1,2,"lncRNA"
"RASSF6",49115,7,20,"protein_coding"
"LOC105377272",9162,1,2,"lncRNA"
"CXCL8",3146,1,5,"protein_coding"
"CXCL6",2082,1,4,"protein_coding"
"PPBPP1",517,NA,NA,"pseudogene"
"PF4V1",1187,1,3,"protein_coding"
"CXCL1",1915,1,5,"protein_coding"
"HNRNPA1P55",1355,NA,NA,"pseudogene"
"CXCL1P1",498,NA,NA,"pseudogene"
"PF4",1313,2,5,"protein_coding"
"PPBP",1751,1,3,"protein_coding"
"CXCL5",3035,1,4,"protein_coding"
"RN7SL218P",292,NA,NA,"pseudogene"
"CXCL3",2102,1,4,"protein_coding"
"PPBPP2",1361,1,1,"transcribed_pseudogene"
"LOC643014",674,NA,NA,"pseudogene"
"CXCL2",2155,1,4,"protein_coding"
"MTHFD2L",188937,18,40,"protein_coding"
"LOC105377277",22752,1,2,"lncRNA"
"LOC105377276",52767,1,2,"lncRNA"
"EPGN",8319,2,9,"protein_coding"
"EREG",23610,1,5,"protein_coding"
"AREG",9869,1,6,"protein_coding"
"LOC107986229",38002,1,3,"lncRNA"
"BTC",49773,2,8,"protein_coding"
"LOC105377278",4532,2,4,"lncRNA"
"LOC105377282",9447,1,5,"lncRNA"
"LOC105377280",13381,1,4,"lncRNA"
"HSPE1P23",488,NA,NA,"pseudogene"
"PARM1",117002,1,5,"protein_coding"
"PARM1-AS1",14388,1,4,"lncRNA"
"LOC107986289",37188,1,3,"lncRNA"
"LINC02562",2783,1,2,"lncRNA"
"LOC100506253",2668,1,3,"lncRNA"
"LINC02483",8487,1,4,"lncRNA"
"LOC107986230",7378,1,3,"lncRNA"
"RCHY1",35709,4,19,"protein_coding"
"THAP6",33390,8,15,"protein_coding"
"LOC124900717",701,1,2,"lncRNA"
"ODAPH",9809,3,8,"protein_coding"
"CDKL2",54013,6,20,"protein_coding"
"COX6CP9",224,NA,NA,"pseudogene"
"G3BP2",81652,7,22,"protein_coding"
"USO1",89714,1,26,"protein_coding"
"LOC105377284",16156,2,8,"lncRNA"
"RNU2-16P",135,NA,NA,"pseudogene"
"PPEF2",42969,2,19,"protein_coding"
"LOC105377285",10097,1,2,"lncRNA"
"NAAA",30347,4,16,"protein_coding"
"SDAD1",41082,3,25,"protein_coding"
"SDAD1-AS1",25172,1,3,"lncRNA"
"CXCL9",6234,1,4,"protein_coding"
"ART3",101759,5,20,"protein_coding"
"CXCL10",2379,1,4,"protein_coding"
"CXCL11",2388,1,5,"protein_coding"
"RPL36P8",314,NA,NA,"pseudogene"
"NUP54",33739,3,16,"protein_coding"
"LOC124900718",12394,1,2,"lncRNA"
"SCARB2",55083,1,12,"protein_coding"
"FAM47E",69772,2,11,"protein_coding"
"LOC105377286",13058,2,5,"lncRNA"
"FAM47E-STBD1",59449,1,1,"protein_coding"
"STBD1",4398,1,1,"protein_coding"
"CCDC158",108893,8,38,"protein_coding"
"SNX5P1",1199,NA,NA,"pseudogene"
"RNU6-1000P",105,NA,NA,"pseudogene"
"RPL36AP18",395,NA,NA,"pseudogene"
"LOC124900891",70,1,1,"snoRNA"
"SHROOM3",347998,1,11,"protein_coding"
"RNU6-145P",104,NA,NA,"pseudogene"
"MIR4450",64,2,2,"miRNA"
"MIR548AH",75,3,3,"miRNA"
"LOC105377290",32589,5,12,"lncRNA"
"SUMO2P11",1047,NA,NA,"pseudogene"
"SHROOM3-AS1",60531,1,3,"lncRNA"
"LOC100421494",955,NA,NA,"pseudogene"
"RPL26P17",5398,NA,NA,"pseudogene"
"SOWAHB",3992,1,1,"protein_coding"
"LOC105377294",46743,2,5,"lncRNA"
"SEPTIN11",90492,5,18,"protein_coding"
"TXNP6",516,NA,NA,"pseudogene"
"CCNI",28813,2,12,"protein_coding"
"RPL7P17",714,NA,NA,"pseudogene"
"LOC339966",1161,NA,NA,"pseudogene"
"RNU6-1187P",109,NA,NA,"pseudogene"
"LOC101928864",3289,1,2,"lncRNA"
"CCNG2",12853,3,10,"protein_coding"
"LOC107986292",13540,2,5,"lncRNA"
"FTLP9",447,NA,NA,"pseudogene"
"LOC100421141",692,NA,NA,"pseudogene"
"LOC100421142",786,NA,NA,"pseudogene"
"LOC105377295",15660,1,3,"lncRNA"
"LOC124900720",1177,NA,NA,"pseudogene"
"CXCL13",100081,2,6,"protein_coding"
"LOC105377296",12720,1,10,"lncRNA"
"LOC105377297",6382,1,4,"lncRNA"
"CNOT6L",106828,4,23,"protein_coding"
"MRPL1",90756,4,13,"protein_coding"
"LOC102724916",34111,1,4,"lncRNA"
"LOC100128297",2707,NA,NA,"pseudogene"
"HMGB1P44",590,NA,NA,"pseudogene"
"HNRNPA1P56",1365,NA,NA,"pseudogene"
"FRAS1",481694,2,75,"protein_coding"
"LOC107986293",15741,1,2,"lncRNA"
"SERBP1P5",1933,NA,NA,"pseudogene"
"SNORD161",65,1,1,"snoRNA"
"MICOS10P4",468,NA,NA,"pseudogene"
"ANXA3",58694,2,14,"protein_coding"
"LOC124900901",102,1,1,"snoRNA"
"LINC01094",38521,1,6,"lncRNA"
"HIGD1AP13",267,NA,NA,"pseudogene"
"LOC101928893",27732,1,3,"lncRNA"
"RPS21P3",351,NA,NA,"pseudogene"
"BMP2K",140026,5,22,"protein_coding"
"LOC105377299",38332,1,4,"lncRNA"
"PAQR3",52218,6,21,"protein_coding"
"RN7SL127P",296,NA,NA,"pseudogene"
"LINC01088",337218,1,6,"lncRNA"
"LOC124900723",3898,1,2,"lncRNA"
"NAA11",170817,5,8,"protein_coding"
"LOC105377300",24211,3,7,"lncRNA"
"GK2",1867,1,1,"protein_coding"
"LINC00989",83756,1,4,"lncRNA"
"LOC107986294",62950,1,7,"lncRNA"
"OR7E94P",329,NA,NA,"pseudogene"
"LOC105377302",47426,2,6,"lncRNA"
"PCAT4",35787,1,2,"lncRNA"
"LOC124900174",126,1,1,"snoRNA"
"ANTXR2",166205,3,20,"protein_coding"
"LOC124900918",116,NA,NA,"pseudogene"
"KPNA2P1",1959,NA,NA,"pseudogene"
"LOC124900724",2354,1,2,"lncRNA"
"RPSAP39",1028,NA,NA,"pseudogene"
"PRDM8-AS1",16123,1,7,"lncRNA"
"PRDM8",19098,2,11,"protein_coding"
"FGF5",24432,3,5,"protein_coding"
"CFAP299",642124,7,16,"protein_coding"
"MRPS25P1",519,NA,NA,"pseudogene"
"LOC100419739",3142,NA,NA,"pseudogene"
"LOC105377305",2678,1,3,"lncRNA"
"BMP3",26923,1,4,"protein_coding"
"PRKG2",130471,5,28,"protein_coding"
"PRKG2-AS1",28456,1,5,"lncRNA"
"RNU5A-2P",115,NA,NA,"pseudogene"
"RASGEF1B",45524,1,15,"protein_coding"
"LOC105377306",2169,1,3,"lncRNA"
"MTCYBP44",822,NA,NA,"pseudogene"
"COX5BP1",519,NA,NA,"pseudogene"
"NPM1P41",764,NA,NA,"pseudogene"
"HNRNPA3P13",3103,NA,NA,"pseudogene"
"RNU6-499P",106,NA,NA,"pseudogene"
"LOC105377308",42011,3,7,"lncRNA"
"BIN2P1",1951,NA,NA,"pseudogene"
"VAMP9P",12539,2,6,"transcribed_pseudogene"
"HNRNPD",21511,1,9,"protein_coding"
"HNRNPD-DT",9455,1,3,"lncRNA"
"IGBP1P4",1188,NA,NA,"pseudogene"
"LOC124900890",68,1,1,"snoRNA"
"HNRNPDL",7876,2,11,"protein_coding"
"ENOPH1",30593,1,7,"protein_coding"
"LOC105377310",14313,3,7,"lncRNA"
"TMEM150C",79078,2,11,"protein_coding"
"RPL7AP26",893,NA,NA,"pseudogene"
"RPS6P6",1128,NA,NA,"pseudogene"
"PTPN11P5",865,NA,NA,"pseudogene"
"LINC00575",8284,1,5,"lncRNA"
"SCD5",169298,2,6,"protein_coding"
"MIR575",93,2,2,"miRNA"
"SEC31A",82016,6,41,"protein_coding"
"THAP9-AS1",7462,1,4,"lncRNA"
"SNORD143",75,1,1,"snoRNA"
"SNORD144",85,1,1,"snoRNA"
"THAP9",19221,4,11,"protein_coding"
"LIN54",88385,3,17,"protein_coding"
"RNU6-615P",105,NA,NA,"pseudogene"
"COPS4",40604,1,11,"protein_coding"
"PLAC8",24659,3,7,"protein_coding"
"LOC124900167",62068,1,5,"lncRNA"
"LOC391674",974,NA,NA,"pseudogene"
"COQ2",21314,2,8,"protein_coding"
"HPSE",42694,3,14,"protein_coding"
"LOC105377313",2744,1,3,"lncRNA"
"LOC100287427",857,NA,NA,"pseudogene"
"HELQ",48515,3,22,"protein_coding"
"MRPS18C",6239,1,6,"protein_coding"
"ABRAXAS1",25575,2,11,"protein_coding"
"SLC25A14P1",1183,NA,NA,"pseudogene"
"RPL30P5",335,NA,NA,"pseudogene"
"GPAT3",70267,6,18,"protein_coding"
"LOC105377315",6696,2,4,"lncRNA"
"LINC02994",331154,1,9,"lncRNA"
"RNU6-774P",106,NA,NA,"pseudogene"
"LOC152845",1846,NA,NA,"pseudogene"
"NKX6-1",7307,1,3,"protein_coding"
"LOC102723338",55400,5,18,"lncRNA"
"RPL3P13",215,NA,NA,"pseudogene"
"CDS1",68195,1,13,"protein_coding"
"WDFY3",297126,6,82,"protein_coding"
"RN7SL552P",275,NA,NA,"pseudogene"
"WDFY3-AS1",13825,1,3,"lncRNA"
"RNU6-469P",100,NA,NA,"pseudogene"
"WDFY3-AS2",43128,3,9,"lncRNA"
"LOC100526736",2714,NA,NA,"pseudogene"
"ARHGAP24",527373,6,15,"protein_coding"
"LOC105377319",18065,1,4,"lncRNA"
"MIR4451",65,2,2,"miRNA"
"MAPK10",583710,8,28,"protein_coding"
"MAPK10-AS1",100155,1,4,"lncRNA"
"RN7SKP96",296,NA,NA,"pseudogene"
"MIR4452",70,2,2,"miRNA"
"PTPN13",220854,1,50,"protein_coding"
"SLC10A6",25845,1,6,"protein_coding"
"RPL6P13",1267,NA,NA,"pseudogene"
"C4orf36",59986,4,20,"protein_coding"
"ARPC1AP4",1989,NA,NA,"pseudogene"
"AFF1-AS1",9953,1,2,"lncRNA"
"AFF1",206085,6,28,"protein_coding"
"TECRP1",552,NA,NA,"pseudogene"
"LOC105377320",6879,1,2,"lncRNA"
"KLHL8",80598,5,18,"protein_coding"
"LOC100419572",1085,NA,NA,"pseudogene"
"GAPDHP60",1270,NA,NA,"pseudogene"
"MIR5705",88,2,2,"miRNA"
"HSD17B13",19092,1,7,"protein_coding"
"HSD17B11",54674,2,8,"protein_coding"
"RN7SL681P",291,NA,NA,"pseudogene"
"LOC100129693",965,NA,NA,"pseudogene"
"NUDT9",39448,3,12,"protein_coding"
"SCPPPQ1",10223,1,10,"protein_coding"
"SPARCL1",56055,1,15,"protein_coding"
"LOC124900729",5414,1,2,"lncRNA"
"DSPP",8187,1,5,"protein_coding"
"DMP1",14051,2,7,"protein_coding"
"LOC105377323",22775,1,4,"lncRNA"
"LOC105377324",11013,1,3,"lncRNA"
"LOC124900912",96,NA,NA,"pseudogene"
"CHCHD2P7",776,NA,NA,"pseudogene"
"IBSP",12872,1,7,"protein_coding"
"MEPE",25392,2,8,"protein_coding"
"HSP90AB3P",2550,NA,NA,"pseudogene"
"SPP1",7696,1,8,"protein_coding"
"LOC124906434",10997,1,3,"lncRNA"
"RNU1-36P",164,NA,NA,"pseudogene"
"PKD2",70146,3,18,"protein_coding"
"ABCG2",145831,5,27,"protein_coding"
"LOC124900867",1170,1,2,"protein_coding"
"RPL31P24",396,NA,NA,"pseudogene"
"RNU6-818P",107,NA,NA,"pseudogene"
"RNU6ATAC31P",124,NA,NA,"pseudogene"
