"TranscriptID","CP","GeneID"
"XR_007073384.1",0.0955979,"LINC01967"
"XR_007073385.1",0.0264665,"LOC105377008"
"NR_138585.2",0.0804897,"CMC1"
"NM_022461.5",1,"AZI2"
"NM_001134433.2",0.999904,"AZI2"
"XM_054347540.1",0.999938,"AZI2"
"XM_054347541.1",0.999916,"AZI2"
"NR_136708.2",0.99617,"ZCWPW2"
"XM_047444127.1",0.257672,"LOC107986012"
"NR_038840.1",0.13342,"LINC00693"
"XR_007073387.1",0.128717,"LOC105377009"
"XR_007073386.1",0.145233,"LOC105377009"
"XR_007073388.1",0.0767412,"LOC105377009"
"NR_109804.1",0.0334925,"RBMS3-AS3"
"XM_054346191.1",0.999841,"RBMS3"
"NM_001003793.3",0.999911,"RBMS3"
"NM_001177712.2",1,"RBMS3"
"XM_054346189.1",1,"RBMS3"
"NM_001330696.1",0.999947,"RBMS3"
"XR_007073390.1",0.0612328,"LOC124906223"
"NR_046557.1",0.0076034,"RBMS3-AS2"
"XM_054346196.1",0.999948,"RBMS3"
"XM_054346195.1",0.999819,"RBMS3"
"XM_054346198.1",0.999668,"RBMS3"
"XR_007073389.1",0.0377101,"LOC124906222"
"NR_046556.1",0.0940427,"RBMS3-AS1"
"XR_007073391.1",0.0927933,"LOC124906224"
"XR_007074196.1",0.0269916,"LOC124906377"
"XR_007073395.1",0.207646,"LOC101927995"
"XR_007073400.1",0.0357051,"LOC101927995"
"XR_007073397.1",0.107104,"LOC101927995"
"XR_007073392.1",0.0811929,"LOC101927995"
"XR_007073396.1",0.0147688,"LOC101927995"
"XR_007073401.1",0.0358802,"LOC105377013"
"NR_147054.1",0.0997652,"LINC01985"
"XR_007073402.1",0.0111741,"LOC105377015"
"NM_001407129.1",1,"TGFBR2"
"NM_001407136.1",1,"TGFBR2"
"XM_054347666.1",1,"TGFBR2"
"NM_001407128.1",1,"TGFBR2"
"NM_207359.3",1,"GADL1"
"XM_054346422.1",1,"GADL1"
"XM_054346423.1",1,"GADL1"
"NR_130459.1",0.0169553,"MIR466"
"XR_007073403.1",0.117337,"LOC105377018"
"NM_178862.3",1,"STT3B"
"XM_054345640.1",0.999999,"STT3B"
"XM_054345639.1",1,"STT3B"
"XM_054345127.1",1,"OSBPL10"
"XM_054345123.1",1,"OSBPL10"
"XM_054345128.1",1,"OSBPL10"
"XM_054345131.1",1,"OSBPL10"
"XM_054345130.1",1,"OSBPL10"
"XM_054345133.1",0.99998,"OSBPL10"
"XM_054345126.1",1,"OSBPL10"
"XM_054345121.1",1,"OSBPL10"
"XM_054345124.1",1,"OSBPL10"
"XM_054345125.1",1,"OSBPL10"
"XM_054345129.1",1,"OSBPL10"
"XM_054345132.1",1,"OSBPL10"
"NR_049771.1",0.128121,"OSBPL10-AS1"
"XM_054346427.1",1,"ZNF860"
"XM_054346428.1",1,"ZNF860"
"XR_007073404.1",0.109469,"ZNF860"
"XR_007073405.1",0.108176,"ZNF860"
"XR_007074163.1",0.0102647,"LOC124900559"
"NM_015141.4",0.999999,"GPD1L"
"XR_007074189.1",0.0153613,"LOC124906367"
"XM_054345383.1",0.988568,"CMTM8"
"XM_054345384.1",0.996634,"CMTM8"
"XM_054345386.1",0.606958,"CMTM8"
"XM_054345385.1",0.986566,"CMTM8"
"NM_138410.4",0.966895,"CMTM7"
"XM_054345104.1",0.853407,"CMTM7"
"NM_017801.3",0.971323,"CMTM6"
"NR_106753.1",0.0131749,"MIR548AY"
"NM_001329135.2",1,"DYNC1LI1"
"XM_054346721.1",1,"DYNC1LI1"
"XR_007073406.1",0.026503,"LOC124906226"
"NR_046352.2",1,"CNOT10"
"NM_001256742.2",1,"CNOT10"
"XR_008486698.1",1,"CNOT10"
"XM_054346090.1",1,"CNOT10"
"NM_001039111.3",1,"TRIM71"
"NM_005508.5",0.999999,"CCR4"
"XM_054345170.1",1,"CCR4"
"NM_001393580.1",1,"GLB1"
"NM_001135602.3",1,"GLB1"
"NM_001079811.3",1,"GLB1"
"NM_001136238.2",0.999917,"TMPPE"
"NM_006371.5",0.999999,"CRTAP"
"NM_001393363.1",1,"CRTAP"
"XM_054346125.1",1,"SUSD5"
"NR_146122.2",0.757926,"FBXL2"
"NR_146123.2",0.706273,"FBXL2"
"NR_146129.2",0.646212,"FBXL2"
"NR_146130.2",0.855975,"FBXL2"
"XR_008486694.1",1,"FBXL2"
"XM_054346016.1",1,"FBXL2"
"XR_008486696.1",1,"FBXL2"
"XM_054346017.1",1,"FBXL2"
"XM_054347741.1",1,"UBP1"
"NM_001128161.2",1,"UBP1"
"XM_054347743.1",0.999999,"UBP1"
"XR_008486789.1",1,"UBP1"
"XM_054347742.1",1,"UBP1"
"NM_001375713.1",1,"CLASP2"
"NM_001400417.1",1,"CLASP2"
"NM_001400437.1",1,"CLASP2"
"NM_001375718.1",1,"CLASP2"
"NR_183731.1",0.0350312,"PDCD6IP-DT"
"NM_001162429.3",1,"PDCD6IP"
"NM_001256192.2",0.999976,"PDCD6IP"
"XM_054344819.1",1,"PDCD6IP"
"XR_007073409.1",0.0122244,"LOC105377024"
"NR_183677.1",0.205253,"LINC01811"
"NR_183687.1",0.0888595,"LINC01811"
"NR_183697.1",0.364815,"LINC01811"
"NR_183676.1",0.0552505,"LINC01811"
"NR_183690.1",0.161394,"LINC01811"
"NR_183696.1",0.0433209,"LINC01811"
"XR_007073420.1",0.948634,"LOC102724048"
"XR_007073419.1",0.0502588,"LOC102724048"
"XR_007073417.1",0.94752,"LOC102724048"
"NR_110817.1",0.0348663,"LOC101928135"
"NM_001385489.1",1,"ARPP21"
"NR_170705.1",1,"ARPP21"
"NM_001267616.2",0.283027,"ARPP21"
"NM_001267617.2",1,"ARPP21"
"XM_054345008.1",1,"ARPP21"
"NR_169646.1",0.999978,"ARPP21"
"NR_170706.1",1,"ARPP21"
"NM_001385588.2",1,"ARPP21"
"NM_001385585.1",1,"ARPP21"
"NM_001267618.2",0.422105,"ARPP21"
"NM_001385587.1",1,"ARPP21"
"NM_198399.2",0.422105,"ARPP21"
"NM_001385580.1",1,"ARPP21"
"NR_029824.1",1.2072e-06,"MIR128-2"
"XR_007073424.1",0.0267549,"LOC124906227"
"XM_054347630.1",0.999999,"STAC"
"XM_054347632.1",0.999953,"STAC"
"XR_008486779.1",0.978772,"STAC"
"XM_054347633.1",0.999983,"STAC"
"XM_054347634.1",0.999983,"STAC"
"XM_054347636.1",0.99955,"STAC"
"XM_054348159.1",1,"DCLK3"
"NM_033403.1",1,"DCLK3"
"XR_007073425.1",0.0670702,"LOC105377029"
"XR_007073427.1",0.00745958,"LOC105377030"
"NR_147141.1",0.0282923,"LINC02033"
"XM_054348592.1",1,"TRANK1"
"NM_014831.3",1,"TRANK1"
"XM_054348588.1",1,"TRANK1"
"XM_054348591.1",1,"TRANK1"
"XM_054348594.1",1,"TRANK1"
"XM_054348595.1",1,"TRANK1"
"XR_008486871.1",1,"TRANK1"
"XR_008486872.1",1,"TRANK1"
"NM_014805.4",1,"EPM2AIP1"
"XM_054346568.1",1,"MLH1"
"NM_001354619.2",1,"MLH1"
"XM_054346564.1",1,"MLH1"
"XM_054346566.1",1,"MLH1"
"XM_054346567.1",1,"MLH1"
"NM_017724.2",1,"LRRFIP2"
"NM_001282691.1",1,"LRRFIP2"
"NM_001348307.1",1,"LRRFIP2"
"NM_006309.4",1,"LRRFIP2"
"NR_168330.1",0.0397819,"UBE2FP1"
"NR_145514.2",0.00776158,"LRRFIP2"
"XR_007073431.1",0.938817,"LOC105377642"
"XR_007073428.1",0.0257844,"LOC105377642"
"XR_007073429.1",0.0184461,"LOC105377642"
"XR_007074176.1",0.00477386,"LOC124906354"
"NR_149029.1",0.252866,"GOLGA4-AS1"
"XM_054346209.1",1,"GOLGA4"
"XM_054346220.1",1,"GOLGA4"
"NR_171174.1",0.15552,"APRG1"
"NR_126512.1",0.0739052,"APRG1"
"NR_126515.1",0.150287,"APRG1"
"NM_002207.3",1,"ITGA9"
"NR_110531.1",0.0164445,"ITGA9-AS1"
"NR_110532.1",0.0108049,"ITGA9-AS1"
"NM_001008392.2",0.999624,"CTDSPL"
"XM_054344907.1",0.999437,"CTDSPL"
"NR_029499.1",0.0249841,"MIR26A1"
"NM_001385039.1",1,"VILL"
"NM_001385038.1",1,"VILL"
"NR_163266.1",1,"VILL"
"NM_006225.4",1,"PLCD1"
"NR_024071.2",1,"PLCD1"
"NM_001321153.2",1,"DLEC1"
"XM_054348647.1",1,"DLEC1"
"XM_054348650.1",1,"DLEC1"
"XM_054348651.1",1,"DLEC1"
"XM_054348652.1",1,"DLEC1"
"XR_008486873.1",1,"DLEC1"
"XM_054348653.1",1,"DLEC1"
"XR_007073433.1",0.0400026,"LOC105377033"
"NR_024024.2",0.916984,"ACAA1"
"XM_054346394.1",0.999958,"ACAA1"
"XM_054346393.1",0.999867,"ACAA1"
"NM_001172567.2",0.999987,"MYD88"
"XR_007073441.1",0.0225876,"LOC101928234"
"XR_007073434.1",0.0271497,"LOC101928234"
"XR_007073435.1",0.0446306,"LOC101928234"
"XR_007073440.1",0.0199523,"LOC101928234"
"XM_054348675.1",1,"OXSR1"
"XM_054348676.1",1,"OXSR1"
"XR_008486879.1",1,"OXSR1"
"NM_005109.3",1,"OXSR1"
"XM_054348678.1",1,"OXSR1"
"XM_054348680.1",0.999999,"OXSR1"
"NM_004256.4",1,"SLC22A13"
"XM_054348441.1",1,"SLC22A14"
"XM_054348445.1",1,"SLC22A14"
"XM_054348446.1",1,"SLC22A14"
"NM_004803.4",1,"SLC22A14"
"XM_054348668.1",1,"XYLB"
"NR_146068.2",0.991544,"XYLB"
"XM_054348663.1",1,"XYLB"
"NM_005108.4",1,"XYLB"
"XM_054348674.1",1,"XYLB"
"XR_008486878.1",1,"XYLB"
"XR_008486877.1",1,"XYLB"
"NM_001349180.2",0.133864,"XYLB"
"XM_054348673.1",1,"XYLB"
"XM_054348666.1",1,"XYLB"
"XM_054348665.1",1,"XYLB"
"XM_054348664.1",1,"XYLB"
"XM_054348667.1",1,"XYLB"
"NR_028389.1",0.0374448,"ACVR2B-AS1"
"NM_001106.4",1,"ACVR2B"
"XM_054348656.1",0.994537,"EXOG"
"NR_153330.2",0.997926,"EXOG"
"XM_054348662.1",0.992202,"EXOG"
"XM_054348654.1",0.999532,"EXOG"
"XM_054348660.1",0.995083,"EXOG"
"XM_054348661.1",0.994818,"EXOG"
"NR_176299.1",1,"SCN5A"
"NM_001407185.1",1,"SCN5A"
"NM_001407186.1",0.992464,"SCN5A"
"NM_001407187.1",0.88785,"SCN5A"
"NM_006514.4",1,"SCN10A"
"XM_054347488.1",1,"SCN10A"
"NM_001293307.2",1,"SCN10A"
"XR_007073442.1",0.0155804,"LOC105377034"
"XR_007073443.1",0.0663928,"LOC107986042"
"NM_001349253.2",1,"SCN11A"
"XM_054345106.1",1,"SCN11A"
"NM_014139.3",1,"SCN11A"
"XM_054345108.1",1,"SCN11A"
"XM_054345109.1",1,"SCN11A"
"NR_164473.1",0.018698,"SCN11A"
"NR_144401.2",1,"WDR48"
"NM_001346228.2",1,"WDR48"
"NR_103866.2",0.995078,"GORASP1"
"XM_054347554.1",1,"GORASP1"
"XM_054347556.1",1,"GORASP1"
"XM_054347561.1",0.999916,"GORASP1"
"XM_054347562.1",0.9997,"GORASP1"
"XM_054347557.1",0.999991,"GORASP1"
"XR_008486775.1",0.99042,"GORASP1"
"NR_159494.1",1,"TTC21A"
"XM_054345597.1",1,"TTC21A"
"XM_054345600.1",1,"TTC21A"
"XM_054345601.1",1,"TTC21A"
"XM_054345602.1",1,"TTC21A"
"XM_054345599.1",1,"TTC21A"
"NR_106880.1",7.09354e-06,"MIR6822"
"XM_054347550.1",1,"CSRNP1"
"NM_001320560.2",1,"CSRNP1"
"NM_033027.4",1,"CSRNP1"
"XM_054347552.1",1,"CSRNP1"
"XM_054347549.1",1,"CSRNP1"
"XM_054347551.1",1,"CSRNP1"
"NM_001320559.2",1,"CSRNP1"
"XM_054347553.1",1,"CSRNP1"
"XR_007073445.1",0.131684,"LOC101928263"
"XR_007073446.1",0.112915,"LOC101928263"
"XR_007073444.1",0.0329549,"LOC105377035"
"NM_001351377.2",1,"XIRP1"
"XM_047444124.1",0.99647,"DSTNP4"
"XR_007073126.1",0.040529,"LOC102724104"
"XM_054345424.1",0.999999,"CX3CR1"
"NM_001171174.1",1,"CX3CR1"
"NM_001171171.2",1,"CX3CR1"
"NM_001171172.2",1,"CX3CR1"
"NM_001337.4",0.999999,"CX3CR1"
"NM_005201.4",0.999915,"CCR8"
"XR_007073129.1",0.154563,"LOC105377037"
"XR_007073127.1",0.300358,"LOC105377644"
"XR_007073128.1",0.509219,"LOC105377644"
"NM_017875.4",0.99997,"SLC25A38"
"XM_054347026.1",0.997534,"SLC25A38"
"NM_001304288.2",1,"RPSA"
"NR_002325.1",0.00890844,"SNORA6"
"NR_002324.1",0.0324986,"SNORA62"
"XR_007073130.1",0.0317082,"LOC107986075"
"NR_103505.2",0.491014,"MOBP"
"NR_103506.2",0.315751,"MOBP"
"NM_001393704.1",0.996432,"MOBP"
"XR_007073449.1",0.258958,"LOC105377039"
"XR_007073448.1",0.301437,"LOC105377039"
"XR_007073451.1",0.0145718,"LOC105377039"
"XR_007073450.1",0.310377,"LOC105377039"
"XR_007073452.1",0.280646,"LOC105377039"
"NM_001284423.2",1,"MYRIP"
"NR_104316.2",1,"MYRIP"
"XM_054346101.1",1,"MYRIP"
"NM_001284426.2",1,"MYRIP"
"NR_033965.1",0.0348925,"EIF1B-AS1"
"XR_007074159.1",0.0899334,"LOC124900557"
"XR_007073453.1",0.0995184,"LOC124906228"
"NM_005875.3",0.70529,"EIF1B"
"NM_001291960.2",1,"ENTPD3"
"NM_001291961.2",1,"ENTPD3"
"XM_054348477.1",0.999825,"ENTPD3"
"NR_040100.1",0.0518634,"ENTPD3-AS1"
"NM_001034996.3",0.874568,"RPL14"
"NM_001363277.2",1,"ZNF619"
"XM_054345958.1",0.999864,"ZNF620"
"XM_054345956.1",0.99999,"ZNF620"
"XM_054345961.1",0.999992,"ZNF620"
"XM_054346294.1",0.999859,"ZNF621"
"NM_198484.5",0.999983,"ZNF621"
"XR_007073454.1",0.14958,"LOC124906229"
"XR_007073456.1",0.202009,"LOC124906229"
"XR_007073461.1",0.00891744,"LOC105377043"
"XR_007073459.1",0.0472185,"LOC105377043"
"XR_007073460.1",0.740765,"LOC105377043"
"XR_007073458.1",0.0362164,"LOC105377043"
"XR_007073457.1",0.0176001,"LOC105377043"
"XR_007073462.1",0.0270642,"LOC124906230"
"XR_007073463.1",0.0388709,"LOC105377045"
"NM_001330729.2",1,"CTNNB1"
"XM_054345313.1",1,"CTNNB1"
"XM_054345314.1",1,"CTNNB1"
"XM_054345317.1",1,"CTNNB1"
"XM_054345310.1",1,"CTNNB1"
"XM_054345311.1",1,"CTNNB1"
"XM_054345315.1",1,"CTNNB1"
"XM_054347027.1",1,"ULK4"
"XM_054347028.1",1,"ULK4"
"NR_136342.2",1,"ULK4"
"XR_007073464.1",0.286888,"LOC105377046"
"NM_001322500.2",1,"ULK4"
"XM_054345699.1",1,"TRAK1"
"XM_054345700.1",1,"TRAK1"
"NR_146089.1",1,"TRAK1"
"XM_054345694.1",1,"TRAK1"
"XM_054345709.1",1,"TRAK1"
"XM_054345706.1",1,"TRAK1"
"XM_054345708.1",1,"TRAK1"
"XM_054345710.1",1,"TRAK1"
"XM_054345702.1",1,"TRAK1"
"NM_001265608.2",1,"TRAK1"
"XR_007073465.1",0.923104,"LOC124906231"
"XM_054345698.1",1,"TRAK1"
"NM_001265609.2",1,"TRAK1"
"NM_001265610.1",1,"TRAK1"
"XM_054345697.1",1,"TRAK1"
"XM_054345714.1",1,"TRAK1"
"NM_014965.5",1,"TRAK1"
"XR_007073466.1",0.0159818,"LOC105377048"
"XR_007073468.1",0.0782297,"LOC105377048"
"NM_000729.6",0.172169,"CCK"
"NM_001174138.3",0.434373,"CCK"
"XM_054345215.1",0.593901,"LYZL4"
"XM_054345216.1",0.721521,"LYZL4"
"XM_054345214.1",0.539299,"LYZL4"
"NM_001304386.2",0.598662,"LYZL4"
"NM_001251882.2",1,"VIPR1"
"NM_004624.4",1,"VIPR1"
"XM_054347747.1",0.999995,"VIPR1"
"XR_008486791.1",0.999993,"VIPR1"
"XM_054347749.1",0.999853,"VIPR1"
"NR_046654.1",0.00390076,"VIPR1-AS1"
"NM_001201572.2",0.999793,"SEC22C"
"XM_054348333.1",0.999929,"SEC22C"
"XM_054348331.1",0.999919,"SEC22C"
"NM_001201584.2",0.999594,"SEC22C"
"XM_054348332.1",0.999958,"SEC22C"
"XM_054348334.1",0.997891,"SEC22C"
"XM_054346745.1",0.182477,"SS18L2"
"XM_054346742.1",0.0576609,"SS18L2"
"XM_054346743.1",0.0890269,"SS18L2"
"XM_054346744.1",0.0890269,"SS18L2"
"XM_054346741.1",0.177449,"SS18L2"
"NM_001370300.1",0.0838937,"SS18L2"
"XM_054346635.1",1,"NKTR"
"NM_001349125.2",1,"NKTR"
"XM_054346641.1",0.999996,"NKTR"
"XM_054346642.1",0.999826,"NKTR"
"NR_125400.1",0.00279132,"ZBTB47-AS1"
"XM_054346639.1",1,"NKTR"
"XM_054348440.1",1,"ZBTB47"
"NM_145166.4",1,"ZBTB47"
"NM_001410746.1",1,"ZBTB47"
"XR_007073470.1",0.154195,"LOC124906232"
"XR_007073469.1",0.0183682,"LOC124906232"
"NM_152393.4",1,"KLHL40"
"XM_054347385.1",1,"HHATL"
"XM_054347381.1",1,"HHATL"
"XM_054347384.1",1,"HHATL"
"NR_027753.2",1,"HHATL"
"XM_054347387.1",1,"HHATL"
"XM_054347388.1",0.999999,"HHATL"
"NR_146957.1",0.0310265,"HHATL-AS1"
"XR_008486665.1",1,"CCDC13"
"XM_054345389.1",1,"CCDC13"
"XM_054345391.1",1,"CCDC13"
"XM_054345390.1",1,"CCDC13"
"NR_046732.1",0.0213727,"CCDC13-AS1"
"XM_054345394.1",1,"CCDC13"
"XM_054345392.1",1,"CCDC13"
"XM_054345393.1",1,"CCDC13"
"NR_122070.1",0.0276626,"CCDC13-AS2"
"NM_014056.4",0.079556,"HIGD1A"
"NM_001296.5",1,"ACKR2"
"NM_004391.3",1,"CYP8B1"
"NM_001134656.2",1,"ZNF662"
"NR_122033.1",0.100371,"KRBOX1-AS1"
"NM_001205272.2",0.784222,"KRBOX1"
"NM_001129908.3",1,"GASK1A"
"NM_032806.6",1,"POMGNT2"
"XR_007073471.1",0.0612681,"LOC107986079"
"XR_007073472.1",0.0217825,"LOC105377051"
"XR_007073473.1",0.0121944,"LOC105377052"
"XM_054347001.1",1,"SNRK"
"XM_054347002.1",1,"SNRK"
"XM_054347000.1",1,"SNRK"
"XM_054347003.1",1,"SNRK"
"NR_046757.1",0.599568,"SNRK-AS1"
"NM_001346469.2",1,"ANO10"
"NM_001204833.3",1,"ANO10"
"XM_054347048.1",1,"ANO10"
"XM_054347044.1",1,"ANO10"
"XM_054347049.1",1,"ANO10"
"XM_054347052.1",1,"ANO10"
"XM_054347050.1",1,"ANO10"
"XM_054347046.1",1,"ANO10"
"XM_054347054.1",1,"ANO10"
"XM_054347055.1",1,"ANO10"
"XM_054347047.1",1,"ANO10"
"XM_054347051.1",1,"ANO10"
"XM_054347053.1",1,"ANO10"
"XM_054346719.1",0.999998,"ABHD5"
"XR_008486728.1",1,"ABHD5"
"XR_008486729.1",0.999993,"ABHD5"
"NR_158560.1",0.992563,"ABHD5"
"NM_001355186.2",1,"ABHD5"
"NM_016006.6",0.999995,"ABHD5"
"NM_001365649.1",0.999214,"ABHD5"
"XR_007073474.1",0.037272,"LOC107986081"
"XR_008486883.1",0.152961,"LOC124909489"
"XR_008486884.1",0.152961,"LOC124909489"
"NR_029700.1",0.0160839,"MIR138-1"
"XM_054346462.1",1,"TOPAZ1"
"NM_001145030.2",1,"TOPAZ1"
"XM_054346464.1",1,"TOPAZ1"
"XR_007073476.1",0.0368942,"LOC105377055"
"XR_007073477.1",0.0201311,"LOC105377055"
"NM_001282913.2",1,"TCAIM"
"NM_001029840.3",0.0381319,"TCAIM"
"NM_173826.4",1,"TCAIM"
"NM_001029839.3",0.0388254,"TCAIM"
"XM_054346325.1",0.999892,"TCAIM"
"NR_172924.1",0.161511,"C3orf86P"
"NR_172923.1",0.347655,"C3orf86P"
"NR_144436.1",0.10139,"LINC01988"
"NM_001369454.1",1,"ZNF445"
"XR_007073475.1",0.047073,"LOC101928529"
"NM_001287349.3",1,"ZNF852"
"NM_025169.3",0.999991,"ZKSCAN7"
"XM_054347263.1",0.999997,"ZKSCAN7"
"NM_018651.4",1,"ZKSCAN7"
"NR_157564.1",0.00667159,"ZKSCAN7-AS1"
"XM_054347262.1",1,"ZKSCAN7"
"NR_147692.2",1,"ZNF660-ZNF197"
"NM_173658.4",0.999437,"ZNF660"
"NR_046658.1",0.0231736,"ZNF197-AS1"
"NR_136582.2",0.822682,"ZNF197"
"XM_054347767.1",1,"ZNF35"
"XM_054347766.1",1,"ZNF35"
"XM_054347764.1",1,"ZNF35"
"NM_003420.4",1,"ZNF35"
"XM_047444125.1",0.999498,"LOC124905403"
"NM_033210.5",1,"ZNF502"
"XR_007073478.1",0.0203741,"LOC105377056"
"XM_054345137.1",0.995602,"ZNF501"
"NM_001258280.2",0.995602,"ZNF501"
"NM_020696.4",0.830583,"KIAA1143"
"XM_054347303.1",1,"KIF15"
"XR_008486751.1",1,"KIF15"
"XR_008486753.1",1,"KIF15"
"XM_054347306.1",1,"KIF15"
"XM_054347308.1",1,"KIF15"
"XM_054347310.1",1,"KIF15"
"XR_008486752.1",1,"KIF15"
"XR_008486754.1",1,"KIF15"
"XM_054347307.1",1,"KIF15"
"XM_054347311.1",1,"KIF15"
"XM_054347312.1",1,"KIF15"
"NR_030290.1",0.0125002,"MIR564"
"NM_144638.3",0.847521,"TMEM42"
"XM_054347665.1",1,"TGM4"
"NR_146163.2",0.979366,"ZDHHC3"
"XM_054346770.1",0.984608,"ZDHHC3"
"XM_054346766.1",0.998576,"ZDHHC3"
"XM_054346764.1",0.999998,"ZDHHC3"
"XM_054346769.1",0.992337,"ZDHHC3"
"NR_023353.2",0.992566,"EXOSC7"
"NM_015004.4",0.999999,"EXOSC7"
"NM_003278.3",0.998921,"CLEC3B"
"NM_001308394.2",0.991433,"CLEC3B"
"XM_054347604.1",1,"CDCP1"
"XM_054347602.1",1,"CDCP1"
"NM_178181.3",0.999999,"CDCP1"
"XR_007073480.1",0.58757,"LOC101928636"
"XR_007073481.1",0.550813,"LOC101928636"
"NM_015444.3",0.999981,"TMEM158"
"XR_007074197.1",0.0139317,"LOC124906378"
"XR_007073488.1",0.259944,"LOC105377061"
"XR_007073487.1",0.168215,"LOC105377061"
"XR_007073486.1",0.00875041,"LOC105377062"
"NM_015340.4",1,"LARS2"
"XM_054345902.1",1,"LARS2"
"XM_054345901.1",1,"LARS2"
"NR_048543.1",0.0961201,"LARS2-AS1"
"NM_014240.3",1,"LIMD1"
"XM_054348293.1",1,"LIMD1"
"NR_033947.1",0.264112,"LIMD1-AS1"
"NM_001319073.2",1,"SACM1L"
"XM_054345720.1",1,"SACM1L"
"NR_176012.1",1,"SLC6A20"
"XM_054346951.1",1,"SLC6A20"
"XR_007073489.1",0.0106174,"LOC107986082"
"NM_001405925.1",0.999966,"LZTFL1"
"NR_175976.1",0.249897,"LZTFL1"
"NR_170121.1",0.147089,"LZTFL1"
"NM_001386448.1",0.999997,"CCR9"
"NM_001256369.2",0.999995,"CCR9"
"NM_001386447.1",0.999997,"CCR9"
"NR_170107.1",1,"FYCO1"
"NM_001386422.1",1,"FYCO1"
"NM_001386424.1",1,"FYCO1"
"NM_001386436.1",0.999999,"CXCR6"
"NM_006564.2",1,"CXCR6"
"NM_001386435.1",1,"CXCR6"
"XM_054347842.1",1,"FYCO1"
"XR_007073490.1",0.0206784,"LOC105377063"
"NM_001381860.1",0.99923,"XCR1"
"NM_001024644.2",0.999525,"XCR1"
"NR_170111.1",0.0500561,"XCR1"
"XR_007073491.1",0.0454738,"LOC105377067"
"NM_001295.3",1,"CCR1"
"XM_054345169.1",0.999999,"CCR3"
"NM_178328.1",0.999999,"CCR3"
"NM_001837.4",0.999999,"CCR3"
"NM_001123396.4",0.999994,"CCR2"
"NR_125406.1",0.0783941,"CCR5AS"
"NM_000579.4",0.999882,"CCR5"
"NM_001394783.1",0.999964,"CCR5"
"XM_054348324.1",1,"CCRL2"
"XM_054348325.1",1,"CCRL2"
"NM_003965.5",1,"CCRL2"
"NM_001130910.2",1,"CCRL2"
"NR_151704.1",0.0772923,"LINC02009"
"NM_001321122.2",1,"LTF"
"NM_001321121.2",1,"LTF"
"NM_001199149.2",1,"LTF"
"NM_031440.2",0.999669,"RTP3"
"NM_024512.5",1,"LRRC2"
"NR_073385.1",0.0307449,"LRRC2-AS1"
"NM_001174136.2",0.843326,"TDGF1"
"NM_003212.4",0.861801,"TDGF1"
"NM_001195442.2",0.364944,"FAM240A"
"NR_135622.2",0.999982,"ALS2CL"
"NM_001370524.1",0.261712,"TMIE"
"NM_147196.3",0.927835,"TMIE"
"NM_013270.5",1,"PRSS50"
"NR_147121.1",0.894233,"PRSS46P"
"NR_160553.1",0.999472,"PRSS45P"
"NR_160552.1",0.5,"PRSS43P"
"NR_160551.1",0.280052,"PRSS44P"
"NR_160554.1",0.999918,"PRSS42P"
"NR_148409.1",0.14818,"PRSS42P"
"NM_001406939.1",0.999283,"MYL3"
"NM_000258.3",0.999288,"MYL3"
"NM_001406940.1",0.964606,"MYL3"
"XM_054347374.1",1,"PTH1R"
"NM_001184744.1",1,"PTH1R"
"XM_054347375.1",1,"PTH1R"
"NM_144716.6",0.990242,"CCDC12"
"NM_001277074.2",0.986622,"CCDC12"
"NR_102269.2",0.173054,"CCDC12"
"NM_015175.3",1,"NBEAL2"
"XM_054345843.1",1,"NBEAL2"
"XM_054345845.1",1,"NBEAL2"
"XM_054345836.1",1,"NBEAL2"
"XM_054345842.1",1,"NBEAL2"
"XM_054345841.1",1,"NBEAL2"
"XM_054345844.1",1,"NBEAL2"
"XM_054345847.1",1,"NBEAL2"
"NR_024046.1",0.743843,"NRADDP"
"NR_146158.3",1,"SETD2"
"NM_001349370.3",1,"SETD2"
"NR_033373.1",0.184407,"KIF9-AS1"
"NM_001413976.1",1,"KIF9"
"XM_054347531.1",1,"KIF9"
"XM_054347525.1",1,"KIF9"
"XM_054347526.1",1,"KIF9"
"XM_054347530.1",1,"KIF9"
"XM_054347533.1",1,"KIF9"
"XM_054347528.1",1,"KIF9"
"XM_054347532.1",1,"KIF9"
"NR_145712.1",0.0150145,"SNORD13J"
"NM_001377476.1",0.28972,"KIF9"
"NM_001377477.1",0.141571,"KIF9"
"XM_054345878.1",1,"KLHL18"
"XM_054345882.1",1,"KLHL18"
"XM_054345881.1",1,"KLHL18"
"NM_015466.4",1,"PTPN23"
"XM_054345725.1",1,"SCAP"
"NM_001320044.2",1,"SCAP"
"XM_054345731.1",1,"SCAP"
"XM_054345730.1",1,"SCAP"
"XM_054345728.1",1,"SCAP"
"XM_054345729.1",1,"SCAP"
"XM_054345726.1",1,"SCAP"
"XM_054345723.1",1,"SCAP"
"XM_054345733.1",1,"SCAP"
"XM_054345736.1",1,"SCAP"
"XM_054345732.1",1,"SCAP"
"XM_054345735.1",1,"SCAP"
"XM_054345734.1",1,"SCAP"
"XR_007074194.1",0.00290722,"LOC124906372"
"XR_007073492.1",0.0382008,"LOC105377073"
"XM_054346995.1",0.998536,"ELP6"
"XM_054346997.1",0.998373,"ELP6"
"XM_054346999.1",0.897911,"ELP6"
"XM_054346993.1",0.999909,"ELP6"
"NM_001363957.1",0.997534,"ELP6"
